Artist,Song,Lyrics
Grandmaster Flash And The Furious Five,The Message,"[Intro]
It's like a jungle sometimes
It makes me wonder how I keep from going under
It's like a jungle sometimes
It makes me wonder how I keep from going under

[Verse 1]
Broken glass everywhere
People pissing on the stairs, you know they just don't care
I can't take the smell, can't take the noise
Got no money to move out, I guess I got no choice
Rats in the front room, roaches in the back
Junkies in the alley with a baseball bat
I tried to get away but I couldn't get far
’Cause a man with a tow truck repossessed my car

[Chorus]
Don't push me, ’cause I'm close to the edge
I'm trying not to lose my head
It's like a jungle sometimes
It makes me wonder how I keep from going under

[Verse 2]
Standing on the front stoop, hanging out the window
Watching all the cars go by, roaring as the breezes blow
Crazy lady, living in a bag
Eating out of garbage pails, used to be a fag hag
Said she'll dance the tango, skip the light fandango
A Zircon princess seemed to lost her senses
Down at the peep show watching all the creeps
So she can tell her stories to the girls back home
She went to the city and got so so saditty
She had to get a pimp, she couldn't make it on her own


[Chorus]
Don't push me, ’cause I'm close to the edge
I'm trying not to lose my head
It's like a jungle sometimes
It makes me wonder how I keep from going under

[Verse 3]
My brother's doing bad, stole my mother's TV
Says she watches too much, it's just not healthy
All My Children in the daytime, Dallas at night
Can't even see the game or the Sugar Ray fight
The bill collectors, they ring my phone
And scare my wife when I'm not home
Got a bum education, double-digit inflation
Can't take the train to the job, there's a strike at the station
Neon King Kong standing on my back
Can't stop to turn around, broke my sacroiliac
A mid-range migraine, cancered membrane
Sometimes I think I'm going insane
I swear I might hijack a plane!

[Chorus]
Don't push me, ’cause I'm close to the edge
I'm trying not to lose my head
It's like a jungle sometimes
It makes me wonder how I keep from going under


[Verse 4]
My son said, Daddy, I don't wanna go to school
’Cause the teacher's a jerk, he must think I'm a fool
And all the kids smoke reefer, I think it'd be cheaper
If I just got a job, learned to be a street sweeper
Or dance to the beat, shuffle my feet
Wear a shirt and tie and run with the creeps
’Cause it's all about money; ain't a damn thing funny
You got to have a con in this land of milk and honey
They pushed that girl in front of the train
Took her to the doctor, sewed her arm on again
Stabbed that man right in his heart
Gave him a transplant for a brand new start
I can't walk through the park, ’cause it's crazy after dark
Keep my hand on my gun, ’cause they got me on the run
I feel like a outlaw, broke my last glass jaw
Hear them say ""You want some more?"", living on a see-saw

[Chorus]
Don't push me, ’cause I'm close to the edge
I'm trying not to lose my head
It's like a jungle sometimes
It makes me wonder how I keep from going under

[Verse 5]
A child is born with no state of mind
Blind to the ways of mankind
God is smiling on you, but he's frowning too
Because only God knows what you'll go through
You'll grow in the ghetto living second-rate
And your eyes will sing a song called deep hate
The places you play and where you stay
Looks like one great big alleyway
You'll admire all the number-book takers
Thugs, pimps and pushers and the big money-makers
Driving big cars, spending twenties and tens
And you'll wanna grow up to be just like them, huh
Smugglers, scramblers, burglars, gamblers
Pickpocket peddlers, even panhandlers
You say ""I'm cool, huh, I'm no fool.""
But then you wind up dropping outta high school
Now you're unemployed, all null and void
Walking 'round like you're Pretty Boy Floyd
Turned stick-up kid, but look what you done did
Got sent up for a eight-year bid
Now your manhood is took and you're a Maytag
Spend the next two years as a undercover fag
Being used and abused to serve like hell
'Til one day you was found hung dead in the cell
It was plain to see that your life was lost
You was cold and your body swung back and forth
But now your eyes sing the sad, sad song
Of how you lived so fast and died so young, so...


[Chorus]
Don't push me, ’cause I'm close to the edge
I'm trying not to lose my head
It's like a jungle sometimes
It makes me wonder how I keep from going under

[Outro]
Yo Mell, you see that girl there?
Yo, that sounded like Cowboy man
Cool
Yo, what's up Money?
Yo, where's Cooly an Raheim?
They is downstairs cooling out
So what's up for tonight y'all?
We could go down to Phoenix
We could go check out ""Junebug"" man
Hey yo, you know that girl Betty?
Yeah man
Come on, come all man
Not like it
That's what I heard man
What's this happening, what's this?
What's goin' on?
Freeze
Don't nobody move or nothin'
Y'all know what this is (What's happened?)
Get 'em up, get 'em up (What?)
Oh man, we're (Right in there) Grandmaster Flash and the Furious Five
What is that, a gang?
No
Shut up
I don't wanna hear your mouth
Shut up
Officer, officer, what is the problem?
You the problem
Hey, you ain't gotta push me man
Get in the car, get in the car
Get in the god...
I said, ""Get in the car""
Why is he?"
Midnight Oil,Beds Are Burning,"[Verse 1]
Out where the river broke
The bloodwood and the desert oak
Holden wrecks and boiling diesels
Steam in forty-five degrees

[Pre-Chorus]
The time has come to say fair's fair
To pay the rent, to pay our share
The time has come, a fact's a fact
It belongs to them, let's give it back

[Chorus]
How can we dance when our earth is turning?
How do we sleep while our beds are burning?
How can we dance when our earth is turning?
How do we sleep while our beds are burning?

[Post-Chorus]
The time has come to say fair's fair
To pay the rent now, to pay our share

[Verse 2]
Four wheels scare the cockatoos
From Kintore, east to Yuendemu
The Western Desert lives and breathes
In forty-five degrees

[Pre-Chorus]
The time has come to say fair's fair
To pay the rent, to pay our share
The time has come, a fact's a fact
It belongs to them, let's give it back

[Chorus]
How can we dance when our earth is turning?
How do we sleep while our beds are burning?
How can we dance when our earth is turning?
How do we sleep while our beds are burning?

[Pre-Chorus]
The time has come to say fair's fair
To pay the rent now, to pay our share
The time has come, a fact's a fact
It belongs to them, we're gonna give it back

[Chorus]
How can we dance when our earth is turning?
How do we sleep while our beds are burning?
How can we dance when our earth is turning?
How do we sleep while our beds are burning?"
The Special AKA,Free Nelson Mandela,"Free Nelson Mandela
Free, free, free, free, free
Nelson Mandela

Free Nelson Mandela
Twenty-one years in captivity
Shoes too small to fit his feet
His body abused but his mind is still free
Are you so blind that you cannot see?
I said free Nelson Mandela
I'm begging you, free Nelson Mandela

Pleaded the causes at the ANC
Only one there in a large army
Are you so blind that you cannot see?
Are you so deaf that you cannot hear his plea?
Free Nelson Mandela
I'm begging you, free Nelson Mandela

Twenty-one years in captivity
Are you so blind that you cannot see?
Are you so deaf that you cannot hear?
Are you so dumb that you cannot speak?
I said free Nelson Mandela
I'm begging you, free Nelson Mandela
Free Nelson Mandela


Begging you, begging you please
Free Nelson Mandela
You've got to, you've got to
You got to free
You got to free
You got to free
Nelson Mandela
Nelson Mandela
I'm telling you, telling you, telling you
You've got to free, you've got to free
You've got to free, you've got to free
Nelson Mandela"
Stiff Little Fingers,Alternative Ulster,"

There's nothin' for us in Belfast
The Pound's old and that's a pity
Ok so there's the Trident in Bangor
And then you walk back to the city
We ain't got nothin' but they don't really care
They don't even know you know
They just want money
We can take it or leave it
What we need

Is an alternative Ulster
Grab it and change itit's yours!
Get an alternative Ulster
Ignore the bores and their laws
Get an alternative Ulster
Be an anti-security force
Alter your native Ulster
Alter your native land

Take a look where you're livin'
You got the Army on the street
And the RUC dog of repression
Is barking at your feet
Is this the kind of place you wanna live?
Is this where you wanna be?
Is this the only life we're gonna have?
What we need

Is an alternative Ulster
Grab it and change itit's yours!
Get an alternative Ulster
Ignore the bores and their laws
Get an alternative Ulster
Be an anti-security force
Alter your native Ulster
Alter your native land

And they say they're a part of you
And that's not true you know
They say they've got control of you
And that's a lie you know
They say you will never be free
Free
Free

Alternative Ulster
Alternative Ulster
Alternative Ulster
Alternative Ulster

"
M.I.A.,Paper Planes,"[Verse 1]
I fly like paper, get high like planes
If you catch me at the border I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait
I fly like paper, get high like planes
If you catch me at the border I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait
Sometimes I think sittin' on trains
Every stop I get to I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name
Sometimes I think sittin' on trains
Every stop I get to I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name

[Chorus]
All I wanna do is
And a
And take your money
All I wanna do is
And a
And take your money
All I wanna do is
And a
And take your money
All I wanna do is
And a
And take your money

[Verse 2]
Pirate skulls and bones
Sticks and stones and weed and bongs
Running when we hit 'em
Lethal poison for the system
Pirate skulls and bones
Sticks and stones and weed and bongs
Running when we hit 'em
Lethal poison for the system
No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going to hell, just pumping that gas
No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going to hell, just pumping that gas

[Chorus]
All I wanna do is
And a
And take your money
All I wanna do is
And a
And take your money
All I wanna do is
And a
And take your money
All I wanna do is
And a
And take your money

[Bridge]
M.I.A
Third world democracy
Yeah, I've got more records than the KGB
So, uh, no funny business
Are you ready all?
Some some some I some I murder
Some I some I let go
Some some some I some I murder
Some I some I let go

[Chorus]
All I wanna do is
And a
And take your money
All I wanna do is
And a
And take your money
All I wanna do is
And a
And take your money
All I wanna do is
And a
And take your money"
N.W.A.,Fuck Tha Police,"[Intro: The D.O.C., Dr. Dre, and Ice Cube]
Right about now, N.W.A. court is in full effect
Judge Dre presiding
In the case of N.W.A. versus the Police Department
Prosecuting attorneys are; MC Ren, Ice Cube
And Eazy-motherfucking-E
Order, order, order!
Ice Cube, take the motherfucking stand
Do you swear to tell the truth, the whole truth
And nothing but the truth so help your black ass?
You goddamn right!
Well, won't you tell everybody what the fuck you gotta say?

[Verse 1: Ice Cube]
Fuck the police! Comin' straight from the underground
A young nigga got it bad ‘cause I'm brown
And not the other color, so police think
They have the authority to kill a minority
Fuck that shit ‘cause I ain't the one
For a punk motherfucker with a badge and a gun
To be beating on and thrown in jail
We can go toe-to-toe in the middle of a cell
Fuckin' with me ‘cause I'm a teenager
With a little bit of gold and a pager
Searchin' my car, lookin' for the product
Thinkin' every nigga is sellin' narcotics
You'd rather see me in the pen
Than me and Lorenzo rollin' in a Benz-o
Beat a police out of shape
And when I'm finished, bring the yellow tape
To tape off the scene of the slaughter
Still getting swole off bread and water
I don't know if they fags or what
Search a nigga down, and grabbing his nuts
And on the other hand, without a gun, they can't get none
But don't let it be a black and a white one
‘Cause they'll slam ya down to the street top
Black police showing out for the white cop
Ice Cube will swarm
On any motherfucker in a blue uniform
Just ‘cause I'm from the CPT
Punk police are afraid of me
Huh, a young nigga on the warpath
And when I'm finished, it's gonna be a bloodbath
Of cops, dying in L.A
Yo, Dre, I got something to say


[Chorus]
Fuck tha police!
Fuck tha police!
Fuck tha police!
Fuck tha police!

[Skit 1: Cop, MC Ren, & Dr. Dre]
Pull your goddamn ass over right now!
Aww shit, now, what the fuck you pullin' me over for?
‘Cause I feel like it!
Just sit your ass on the curb and shut the fuck up!
Man, fuck this shit!
A'ight, smartass, I'm taking your black ass to jail!
MC Ren, will you please give your testimony
To the jury about this fucked up incident?

[Verse 2: MC Ren]
Fuck the police! And Ren said it with authority
Because the niggas on the street is a majority
A gang is with whoever I'm steppin'
And the motherfuckin' weapon is kept in
A stash spot, for the so-called law
Wishing Ren was a nigga that they never saw
Lights start flashing behind me
But they're scared of a nigga, so they mace me to blind me
But that shit don't work, I just laugh
Because it gives them a hint not to step in my path
For police, I'm saying, ""Fuck you, punk!""
Reading my rights and shit, it's all junk
Pulling out a silly club, so you stand
With a fake-ass badge and a gun in your hand
But take off the gun so you can see what's up
And we'll go at it, punk, and I'ma fuck you up!
Make you think I'ma kick your ass
But drop your gat, and Ren's gonna blast
I'm sneaky as fuck when it comes to crime
But I'ma smoke them now and not next time
Smoke any motherfucker that sweats me
Or any asshole that threatens me
I'm a sniper with a hell of a scope
Taking out a cop or two, they can't cope with me
The motherfuckin' villain that's mad
With potential to get bad as fuck
So I'ma turn it around
Put in my clip, yo, and this is the sound
(Gunshot sounds)
Yeah, somethin' like that
But it all depends on the size of the gat
Taking out a police would make my day
But a nigga like Ren don't give a fuck to say…


[Chorus]
Fuck tha police!
Fuck tha police!
Fuck tha police!
Fuck tha police!

[Skit 2: Cop, Eazy-E, and Dr. Dre]
(Knocking sounds)
Yeah, man, what you need?
Police, open out!
Aww, shit
We have a warrant for Eazy-E's arrest
Get down and put your hands right where I can see 'em!
(Move, motherfucker, move now!)
What the fuck did I do, man? What did I do?
Just shut the fuck up
And get your motherfucking ass on the floor!
(You heard the man, shut the fuck up!)
But I didn't do shit
Man, just shut the fuck up!
Eazy-E, won't you step up to the stand
And tell the jury how you feel about this bullshit?

[Verse 3: Eazy-E & MC Ren]
I'm tired of the motherfuckin' jackin'
Sweating my gang, while I'm chillin' in the shack, and
Shining the light in my face, and for what?
Maybe it's because I kick so much butt
I kick ass, or maybe ‘cause I blast
On a stupid ass nigga when I'm playing with the trigger
Of an Uzi or an AK
‘Cause the police always got somethin' stupid to say
They put out my picture with silence
‘Cause my identity by itself causes violence
The E with the criminal behavior
Yeah, I'm a gangsta, but still I got flavor
Without a gun and a badge, what do you got?
A sucker in a uniform waiting to get shot
By me, or another nigga
And with a gat, it don't matter if he's smaller or bigger
(Size don't mean shit, he's from the old school, fool!)
And as you all know, E's here to rule
Whenever I'm rollin', keep lookin' in the mirror
And ears on cue, yo, so I can hear a
Dumb motherfucker with a gun
And if I'm rollin' off the 8, he'll be the one
That I take out, and then get away
While I'm driving off laughing, this is what I'll say


[Chorus]
Fuck tha police!
Fuck tha police!
Fuck tha police!
Fuck tha police!

[Skit 3: Dr. Dre, Cop]
The verdict:
The jury has found you guilty of being a redneck
White bread, chickenshit motherfucker
Wait, that's a lie! That's a goddamn lie!
Get him out of here!
I want justice!
Get him the fuck out my face!
I want justice!
Out, right now!
Fuck you, you black motherfuckers!

[Chorus]
Fuck tha police!
Fuck tha police!
Fuck tha police!"
Stevie Wonder,Living For The City,"[Verse 1]
A boy is born in hard time Mississippi
Surrounded by four walls that ain't so pretty
His parents give him love and affection
To keep him strong moving in the right direction
Living just enough, just enough for the city

[Verse 2]
His father works some days for fourteen hours
And you can bet he barely makes a dollar
His mother goes to scrub the floors for many
And you'd best believe she hardly gets a penny
Living just enough, just enough for the city (yeah)

[Verse 3]
His sister's black but she is sho 'nuff pretty
Her skirt is short but Lord her legs are sturdy
To walk to school she's got to get up early
Her clothes are old but never are they dirty
Living just enough, just enough for the city (um-hum)

[Verse 4]
Her brother's smart he's got more sense than many
His patience's long but soon he won't have any
To find a job is like a haystack needle
Because where he lives they don't use colored people
Living just enough, just enough for the city

[Bridge]
(Living just enough for the city)
Living for the city, yeah
(Believing just enough for the city)
Ain't nothing but a city
(Believing just enough for the city)
Living for the city, yeah yeah
(Believing just enough for the city)
Nothing but a city
(Believing just enough for the city)
Live for the city, yeah yeah
(Believing just enough for the city)
The fucking crud is shitty
(Believing just enough for the city)
Live for the city
(Believing just enough for the city)
Ain't nothing but a city, woo
(Believing just enough for the city)
Everybody clap their hands together now, woo
(Believing just enough for the city)
Hmm, for the city yeah
(Believing just enough for the city)
For the city, yeah yeah
(Believing just enough for the city)
For the city, yeah
(Believing just enough for the city)

[Spoken Interlude]
Bus for New York City!
Hey, bus driver! I'm getting on that, hold it
Thanks a lot
Wow, New York, just like I pictured it
Skyscrapers and everything
Hey hey brother, hey come here slick
Hey you look, you look hip man
Hey you wanna make yourself five bucks man
You look hip
Run this across the street for me right quick
Okay, run this across the street for me
What? Huh? I didnt know! What?
Gimme your hands up you punk!
Im just going across the street
Put that leg up, shut your mouth
Hell no, what did I do?
Okay, turn around, turn around
Put your hands behind your back, lets go, lets go
A jury of your peers having found you guilty, ten years
What?
Come on, come on, get in that cell nigga, god, lord

[Verse 5]
His hair is long, his feet are hard and gritty
He spends his life walking the streets of New York City
He's almost dead from breathing in air pollution
He tried and fought but to him there's no solution
Living just enough, just enough for the city

[Verse 6]
I hope you hear inside my voice of sorrow
And that it motivates you to make a better tomorrow
This place is cruel nowhere could be much colder
If we don't change, the world will soon be over
Living just enough, stop giving just enough for the city"
The Doors,The Unknown Soldier,"[Intro]
Wait until the war is over
And we're both a little older
The unknown soldier

[Chorus]
Breakfast where the news is read
Television, children fed
Unborn living, living dead
Bullet strikes the helmet's head

[Verse 1]
And it's all over for the unknown soldier
It's all over for the unknown soldier, uh uh

March!
Company, halt!
Present arms!

Make a grave for the unknown soldier
Nestled in your hollow shoulder
The unknown soldier

[Chorus]
Breakfast where the news is read
Television, children fed

Bullet strikes the helmet's head

[Bridge]
And it's all over
The war is over
It's all over
War is over

[Outro]
It's all over, baby!
All over, baby!
Oh all right, yeah!
All over, yeah ha ha!
All over!
All over, baby!
Oh, oh yeah!
All over
All over
Yeah..."
Madness,(Waiting For) The Ghost Train,"A straw headed woman, and a barrel chested man
A pocket full of posies with a hat brim full of sand
Ooh - waiting for the train that never comes

A dog chasing the tumbleweeds, across the sandy floor
That drift along the platform, through the ticket office door
Ooh - waiting for the train that never comes
Ooh - waiting for the train that never comes

But don't tell me there's nothing coming, you don't fool me
I hear the ghost train rumbling along the tracks - set them free
And I hear them
It's black and white don't try to hide
It's black and white don't try to hide

The station master's writing with a piece of orange chalk
A hundred cancellations, still no one wants to walk
Keep the hungry children from the skeletons in the back
Paid to keep an eye out for the gipsy caravan
Ooh - waiting for the train that never comes
Ooh - waiting for the train that never comes

I hear the ghost train rumbling along the tracks - set them free
And I hear them
It's black and white don't try to hide
It's black and white don't try to hide
It's black and white don't try to hide
It's black and white don't try to hide
It's black and white (don't try)
It's black and white (don't try)
It's black and white don't try to hide
It's black and white don't try to hide
And I hear them
It's black and white don't try to hide
It's black and white don't try to hide..."
Tom Robinson,Glad To Be Gay,"[Spoken Word Intro]
This song is dedicated to the World Health Organization, its a medical song and it concerns a disease whose classification according to the International Classification of Diseases is 302.0

[Verse 1]
The British Police are the best in the world
I don't believe one of these stories I've heard
'Bout them raiding our pubs for no reason at all
Lining the customers up by the wall
Picking out people and knocking them down
Resisting arrest as they're kicked on the ground
Searching their houses and calling them queer
I don't believe that sort of thing happens here

[Chorus]
Sing if you're glad to be gay
Sing if you're happy that way
(Hey!) Sing if you're glad to be gay
Sing if you're happy that way

[Verse 2]
Pictures of naked young women are fun
In Titbits and Playboy, page three of The Sun
There's no nudes in Gay News, our one magazine
But they still find excuses to call it obscene
Read how disgusting we are in the press
The Telegraph, People and Sunday Express
Molesters of children, corruptors of youth
It's there in the paper, it must be the truth

[Chorus]
(Try and) Sing if you're glad to be gay
Sing if you're happy that way
(Hey!) Sing if you're glad to be gay
Sing if you're happy that way

[Verse 3]
Don't try to kid us that if you're discreet
You're perfectly safe as you walk down the street
You don't have to mince or make bitchy remarks
To get beaten unconscious and left in the dark
I had a friend who was gentle and short
He was lonely one evening and went for a walk
Queerbashers caught him, kicked in his teeth
He was only hospitalised for a week
(And he still bears the scars)

[Chorus]
Sing if you're glad to be gay
Sing if you're happy that way
(Hey!) Sing if you're glad to be gay
Sing if you're happy that way

[Verse 4]
And sit back and watch as they close down our clubs
Arrest us for meeting and raid all our pubs
Make sure your boyfriend's at least 21
So only your friends and your brothers get done
Lie to your workmates, lie to your folks
Put down the queens, tell anti-queer jokes
Gay Lib's ridiculous, join their laughter
'The buggers are legal now, what more are they after?'
(Tell them!)

[Chorus]
Sing if you're glad to be gay
Sing if you're happy that way
(Hey!) Sing if you're glad to be gay
Sing if you're happy that way
Sing if you're glad to be gay
Sing if you're happy that way
(Hey!) Sing if you're glad to be gay
Sing if you're happy this way"
R.E.M.,Drive,"[Verse 1]
Smack, crack, bushwhacked
Tie another one to your racks, baby
Hey kids, rock and roll
Nobody tells you where to go, baby

[Chorus]
What if I ride, what if you walk?
What if you rock around the clock?
Tick-tock, tick-tock
What if you did, what if you walk?
What if you tried to get off, baby?

[Verse 2]
Hey, kids, where are you?
Nobody tells you what to do, baby
Hey kids, shake a leg
Maybe you're crazy in the head, baby

[Chorus]
Maybe you did, maybe you walked
Maybe you rocked around the clock
Tick-tock, tick-tock
Maybe I ride, maybe you walk
Maybe I drive to get off, baby

[Bridge]
Hey kids, shake a leg
Maybe you're crazy in the head, baby
Ollie, Ollie, Ollie, Ollie, Ollie
Ollie, Ollie in come free, baby
Hey, kids, where are you?
Nobody tells you what to do, baby

[Verse 3]
Smack, crack, shack-a-lack
Tie another one to your backs, baby
Hey kids, rock and roll
Nobody tells you where to go, baby

[Chorus]
Maybe you did, maybe you walk
Maybe you rock around the clock
Tick-tock, tick-tock
Maybe I ride, maybe you walk
Maybe I drive to get off, baby

[Outro]
Hey kids, where are you?
Nobody tells you what to do, baby
Hey kids, rock and roll
Nobody tells you where to go, baby
Baby
Baby"
Metallica,One,"[Instrumental Intro]

[Verse 1]
I can't remember anything
Can't tell if this is true or a dream
Deep down inside I feel to scream
This terrible silence stops with me
Now that the war is through with me
I'm waking up, I cannot see
That there's not much left of me
Nothing is real but pain now

[Chorus]
Hold my breath as I wish for death
Oh please God, wake me

[Verse 2]
Back in the womb it's much too real
In pumps life that I must feel
But can't look forward to reveal
Look to the time when I'll live
Fed through the tube that sticks in me
Just like a wartime novelty
Tied to machines that make me be
Cut this life off from me

[Chorus]
Hold my breath as I wish for death
Oh please God, wake me

[Short Instrumental Break]

[Chorus]
Now the world is gone, I'm just one
Oh, God help me
Hold my breath as I wish for death
Oh please God, help me

[Instrumental Break]

[Verse 3]
Darkness imprisoning me
All that I see, absolute horror
I cannot live, I cannot die
Trapped in myself, body my holding cell
Landmine has taken my sight
Taken my speech, taken my hearing
Taken my arms, taken my legs
Taken my soul, left me with life in Hell

[Instrumental Outro]"
Peter Gabriel,Biko,"[Intro: Crowd]
Ngomhla sibuyayo
Ngomhla sibuyayo
Ngomhla sibuyayo, kophalal'igazi!
Ngomhla sibuyayo
Ngomhla sibuyayo
Ngomhla sibuyayo, kophalal'igazi!
Bakhala uVorster!
Bakhala uVorster!
Ngomhla sibuyayo, kophalal'igazi!
Ngomhla sibuyayo
Ngomhla sibuyayo
Ngomhla sibuyayo, kophalal'igazi!

[Verse 1: Peter Gabriel]
September '77
Port Elizabeth weather fine
It was business as usual
In police room 619

[Chorus: Peter Gabriel]
Oh Biko, Biko, because Biko
Oh Biko, Biko, because Biko
Yihla moja, yihla moja
The man is dead
The man is dead

[Interlude]

[Verse 2: Peter Gabriel]
When I try and sleep at night
I can only dream in red
The outside world is black and white
With only one colour dead

[Chorus: Peter Gabriel]
Oh Biko, Biko, because Biko
Oh Biko, Biko, because Biko
Yihla moja, yihla moja
The man is dead
The man is dead

[Interlude]

[Verse 3: Peter Gabriel]
You can blow out a candle
But you can't blow out a fire
Once the flames begin to catch
The wind will blow it higher

[Chorus: Peter Gabriel]
Oh Biko, Biko, because Biko
Oh Biko, Biko, because Biko
Yihla moja, yihla moja
The man is dead
The man is dead

[Post-Chorus: Peter Gabriel]
And the eyes of the world are
Watching now, watching now

[Interlude]

[Outro: Crowd]
Senzeni na? Senzeni na?
Senzeni na? Senzeni na?
Senzeni na? Senzeni na?
Senzeni na? Senzeni na?
Senzeni na? Senzeni na?
Senzeni na? Senzeni na?
Senzeni na? Senzeni na?
Senzeni na? Senzeni na?
Senzeni na? Senzeni na?"
Muse,Psycho,"[Verse 1]
Love, it will get you nowhere
You're on your own
Lost in the wild
So come to me now
I could use someone like you
Someone who'll kill on my command
And asks no questions

[Pre-Chorus]
I'm gonna make you
I'm gonna break you
I'm gonna make you
A fucking psycho
A fucking psycho
A fucking psycho

[Chorus]
Your ass belongs to me now

[Bridge: Drill Sergeant / (Soldier)]
Are you a human drone? (Aye, sir!)
Are you a killing machine? (Aye, sir!)
I'm in control, motherfucker, do you understand? (Aye, sir!)

[Verse 2]
Your mind is just a program
And I'm the virus
I'm changing the station
I'll improve your thresholds
I'll turn you into a super drone (super drone)
And you will kill on my command
And I won't be responsible

[Pre-Chorus]
I'm gonna make you
I'm gonna break you
I'm gonna make you
A fucking psycho
A fucking psycho
A fucking psycho

[Chorus]
Your ass belongs to me now

[Bridge: Drill Sergeant / (Soldier)]
Are you a psycho killer? Say ""I'm a psycho killer!""
(I am a psycho killer!)
Scream it!
(I am a psycho killer!)
Show me your war face!
(AHHHH!)
You are a pussy! I said show me your war face!
(AHHHH!)

[Pre-Chorus]
I'm gonna make you
I'm gonna break you
I'm gonna make you
A fucking psycho
A fucking psycho
A fucking psycho

[Chorus]
Your ass belongs to me now

[Bridge: Drill Sergeant / (Soldier)]
I will break you, do you understand?
I will break you, do you understand?
I will break you, do you understand?
I will break you, do you understand?
(Aye, sir!)

(You fucking psycho)

[Chorus]
Your ass belongs to me now
Your ass belongs to me now"
The Jam,The Eton Rifles,"

Sup up your beer and collect your fags
There's a row going on down near Slough
Get out your mat and pray to the West
I'll get out mine and pray for myself

Thought you were smart when you took them on
But you didn't take a peep in their artillery room
All that rugby puts hairs on your chest
What chance have you got against a tie and a crest?

Hello-hurray, what a nice day
For the Eton Rifles, Eton Rifles
Hello-hurray, I hope rain stops play
For the Eton Rifles, Eton Rifles

Thought you were clever when you lit the fuse
Tore down the House of Commons in your brand new shoes
Composed a revolutionary symphony
Then went to bed with a charming young thing

Hello-hurray, cheers then, mate
It's the Eton Rifles, Eton Rifles
Hello-hurray, an extremist scrape
With the Eton Rifles, Eton Rifles

What a catalyst you turned out to be
Loaded the guns, then you run off home for your tea
Left me standing like a guilty schoolboy

What a catalyst you turned out to be
Loaded the guns, then you run off home for your tea
Left me standing like a naughty schoolboy

We came out of it naturally the worst
Beaten and bloody, and I was sick down my shirt
We were no match for their untamed wit
Though some of the lads said they'd be back next week

Hello-hurray, it's the price to pay
To the Eton Rifles, Eton Rifles
Hello-hurray, I'd prefer the plague
To the Eton Rifles, Eton Rifles

Hello-hurray, it's the price to pay
To the Eton Rifles, Eton Rifles
Hello-hurray, I'd prefer the plague
To the Eton Rifles, Eton Rifles
Eton Rifles, Eton Rifles

Eton Rifles, Eton Rifles

"
X-Ray Spex,"Oh Bondage, Up Yours!","[Intro]
Some people think little girls should be seen and not heard
But I say...
Oh Bondage! Up yours!
1, 2, 3, 4!

[Verse 1]
Bind me, tie me
Chain me to the wall
I wanna be a slave to you all
Oh bondage, up yours!
Oh bondage, no more!
Oh bondage, up yours!
Oh bondage, no more!

[Verse 2]
Chain-store, chain-smoke
I consume you all
Chain-gang, chain-mail
I don't think at all
Oh bondage, up yours!
Oh bondage, no more!
Oh bondage, up yours!
Oh bondage, no more!

[Verse 3]
Thrash me crash me
Beat me till I fall
I wanna be a victim for you all
Oh bondage, up yours!
Oh bondage, no more!
Oh bondage, up yours!
Oh bondage, no more!


[Verse 1]
Bind me, tie me
Chain me to the wall
I wanna be a slave to you all
Oh bondage, up yours!
Oh bondage, no more!
Oh bondage, up yours!
Oh bondage, no more!

[Sax Solo]

[Verse 1]
Bind me, tie me
Chain me to the wall
I wanna be a slave to you all
Oh bondage, up yours!
Oh bondage, no more!
Oh bondage, up yours!
Oh bondage, no more!
Oh bondage, up yours!
Oh bondage, no more!"
