Artist,Song,First Week Charted,Last Week Charted,Lyrics,Peak Position,Weeks on Chart
Gene Pitney,Baby Ain't That Fine,1966-01-10,1966-03-28,"

I'm gonna be your baby
And I'm gonna be your guy
We're gonna cook some lovin'
It's gonna sizzle and fry
Baby, ain't that fine
Baby, ain't that fine?

I'm gonna give you lovin'
And I'll say take your time
We'll be rockin' and swingin'
Higher than a Georgia pine
Baby, ain't that fine
Baby, ain't that fine?

I get a little bitty tingle
Up and down my spine
My head gets dizzy
Every time you say you're mine

The birds are gonna be singin'
The bells are gonna chime
We're gonna love each other
And the sun is gonna shine
Baby, ain't that fine
Baby, ain't that fine?

I get a little bitty tingle
Up and down my spine
My head gets dizzy
Everytime you say you're mine

The birds are gonna be singin'
The bells are gonna chime
We're gonna love each other
And the sun is gonna shine
Baby, ain't that fine
Baby, ain't that fine?

Baby, ain't that fine
Baby, ain't that fine?

",15,12
George & Gene,I've Got Five Dollars And It's Saturday Night,1965-04-19,1965-06-21,"

(Hey)
Well, I've been a-working hard the whole week long
And I'm a-gonna have some wine, women and song
I gotta work next week but that's alright
I've got five dollars and it's Saturday night

A music and dancin', flirtin' and fun
It's gonna go on until way past one
I'm a-gonna go where the lights are bright
I've got five dollars and it's Saturday night

I'm gonna have fun tonight
Gonna get right tonight
Everything will be alright
'Cause tonight is Saturday night. (hey.)

Well, other folks worry what the future may bring
I'm gonna have fun and not worry about a thing
My pants are ragged but that's alright
I've got five dollars and it's Saturday night

--- Instrumental ---

A-music and dancin', flirtin' and fun
It's gonna go on until way past one
I'm a gonna go where the lights are bright
I've got five dollars and it's Saturday night

Gonna have fun tonight
Gonna get right tonight
Everything will be alright
Tonight is Saturday night. (hey.)

Let other folks worry what the future may bring
I'm gonna have fun and not worry about a thing
My pants are ragged but that's alright
I've got five dollars and it's Saturday night...

",16,10
George Hamilton IV,Abilene,1963-06-10,1963-11-18,"

Abilene Abilene prettiest town I've ever seen
Women there don't treat you mean in Abilene my Abilene

I sit alone most every night watch those trains pull out of sight
Don't I wish they were carryin' me back to Abilene my Abilene
Abilene Abilene...

Crowded city ain't nothing free nothing in this town for me
Wish to the Lord that I could be in Abilene sweet Abilene
Abilene Abilene...
(Women there don't treat you mean) in Abilene my Abilene

",1,24
George Hamilton IV,Back To Denver,1969-03-10,1969-05-12,"

Judy your breakfast was good I'd have me some more if I could
Your biscuits and love have filled me your beautiful presents sustill me
You're treatin' me just like a king I know what teardrop will bring
That's kind of a comforting thing
But sometimes I wish I was thumbin' my way back to Denver
With nothin' to bother my mind and nothin' ahead but blue sky highway and time

Your shutters you keep closed up tight you iron my shirts about right
The coffee and cake that you bring me
The songs and the rhymes that you sing me are nice
But once in a while I wish you'd forget how to smile
And though you really treat me in style
But sometimes I wish...
Sometimes I wish...

",26,10
George Hamilton IV,China Doll,1962-06-11,1962-06-18,"

Sometimes I go down to old China town
And just walk around just wander around
Where amber lights gleam and blue shadows fall
Just dreaming a dream of my China doll
A silk Chinese coat a little blue pants caral pink lips and tiny pale hands
Oh my China doll my lonely tears fall
I'll never forget you never forget you my China doll
Sometimes I go down and just hang around
And just hang around a boat China bound
And I'd give the word to just leave it all
And sail on that boat to my China doll

",22,2
George Hamilton IV,Early Morning Rain,1966-08-29,1966-12-12,"

In the early morning rain with a dollar in my hand
With an aching in my heart and my pockets full of sand
I'm a long way from home and I miss my loved ones so
In the early morning rain with no place to go

Out on runway No 9 big 7-0-7 set to go
But I'm standin' on the grass where the cold winds blow
Where the liquor tasted good and the women all were fast
There she goes my friend she's a rolling now at last
Hear the mighty engines roar see the silver bird on high
She's away and westward bound far above the clouds she'll fly
Where the morning rain don't fall and the sun always shine
She'll be flying o'er my home in about three hours time

This old airport's got me down it's no earthly good to me
Cause I'm stuck here on the ground as cold and drunk as I can be
You can't jump a big jet plane like you can an old freight train
So I'd best be on my way in the early morning rain
So I'd best be on my way in the early morning rain

",9,16
George Hamilton IV,If You Don't Know I Ain't Gonna Tell You,1962-08-20,1962-11-19,"

Well back in the country in my hometown I'm the coolest fastest man around
I got a hot rod car and you oughta see it run
I went out ridin' with a friend of mine we started passin' everybody way down the line
And I felt pretty good and boy we was havin' fun
Suddenly I didn't feel so fine cause a highway cop pulled up behind
So I asked my friend if the cop was after me
He just sat there shakin' all over like ol' Elvis Presley and said
Well if you don't know I ain't gonna tell you from now on it's up to you fellow
Words don't count at a time like this

There was a little blonde lived down on the corner
All the boys thought that she was a goner
So I got me a date and we went for a ride one night
We rolled along and I held her hand I felt just like a grown up man
Till she stood over close and hugged me up real tight
I started to stop to get out and run but I didn't wanna miss out on all the fun
So I asked her to teach me to spoon beneath the moon
She just looked up at me and winked them big beautiful blue eyes and said
Well if you don't know I ain't gonna tell you from now on it's up to you fellow
Words don't count at a time like this

Well I finally wised up and I learned all the tricks
And now I'm the coolest cat in the sticks
And I've got more gals than anybody else I know
I drink white lightnin' and I travel mighty far
I like pretty gals and souped up cars
I'm a travelling man and I'm always on the go
There's some bootleg liquor bein' sold in town
And the sheriff's been huntin' all around
But nobody knows who the manufacturer is
You ask me why I drive a hot rod coupe DeLuxe
With three carburetors straight stick ship souped up engine
High compression heads and overdrive hu
You don't know I ain't gonna tell you from now on it's up to you fellow
I think you know just what I'm talking about

",6,14
George Hamilton IV,Steel Rail Blues,1966-04-18,1966-08-08,"

Well I got my mail late last night a letter from a girl who found the time to write
To her lonesome boy somewher's in the night
She sent me a railroad ticket too to take me to her lovin' arms
And the big steel rail gonna carry me home to the one I love

Well I been up tight most every night walkin' around the streets of this old town
Not a friend around to tell my troubles to
My good old car she done broke down cause I drove it into the ground
And the big steel rail gonna carry me home to the one I love
Well I look over yonder across that plain
The big drive wheels a poundin' along the ground
Gonna get on board and I'll be homeward bound
Now I ain't had a home cooked meal and Lord I need one now
And the big steel rail gonna carry me home to the one I love

Well here I am with my hat in my hand
Standin' on the broad highway will you give a ride
To a lonesome boy who missed the train last night
I went in town for one last round I gambled my ticket away
And the big steel rail won't carry me home to the one I love

",15,17
George Hamilton IV,Three Steps To The Phone (Millions of Miles),1961-06-12,1961-09-11,"

It's only three steps to the phone I could say we're just three steps apart
I could say it but I'd be so wrong for I'm millions of miles from your heart
It's only eight steps to the door that you entered so many times
But you'll never walk in anymore for I'm millions of miles from your mind
We were very happy and you loved me me till we happened alone
Then our world of love fell apart
Now it's only three steps to the phone but I'm millions of miles from your heart

We were very happy...

",9,13
George Hamilton IV,To You And Yours (From Me And Mine),1961-11-13,1962-01-01,"

Wedding bells are ringing on two sides of town tonight
One wedding it's at seven one's at nine
A pair of old sweethearts will hold their new sweethearts so tight
Best of luck to you and yours from me and mine
To you and yours may happiness flow free
May you find in him the faith you lost in me
And although I don't love her yet perhaps I will in time
Best of luck to you and yours from me and mine

I'm afraid to say I do for fear I really done
Afraid my conscience might not walk the line
For even though I'll kiss her lips it's your lips that I want
That's a difference in you and yours and me and mine
To you and yours...

",13,8
George Hamilton IV,Truck Driving Man,1964-11-30,1965-03-29,"

Truck Driving Man
Well I stopped at a roadhouse in Texas
At a little place called Hamburger Dan's
I heard that old jukebox start playing
A tune about a truck driving man
The waitress then brought me up some coffee
I thanked her and called her back again
I said that old song sure does hit me
'Cause I'm a truck driving man

(Chorus)
Pour me another cup of coffee
For it is the best in the land
I'll put a nickel in the jukebox
And play the truck driving man
I climbed back aboard my old semi
And then like a flash I was gone
I got them old truck wheels a'rollin
'Cause I'm on my way to San Antone
When I get my call up to glory
They'll take me away from this land
I'll head this old truck up to Heaven
""Cause I'm a truck driving man

(Repeat chorus)

",11,18
George Hamilton IV,Urge For Going,1967-02-06,1967-06-05,"

I awoke today and found the frost perched on the town
It hovered in a frozen sky, then it gobbled summer down
When the sun turns traitor cold
And all the trees are shivering in a naked row

I get the urge for going but I never seem to go
I get the urge for going
When the meadow grass is turning brown
Summertime is falling down and winter is closing in

I had me a man in summertime
He had summer-colored skin
And not another girl in town
My darling's heart could win

But when the leaves fell on the ground
Boy winds came around
Pushed them face down in the snow

I get the urge for going but I never seem to go
I get the urge for going
When the meadow grass is turning brown
Summertime is falling down and winter is closing in

Now the warriors of winter, they gave a cold triumphant shout
And all that stays is dying and all that lives is camping out
See the geese in chevron flight flapping and racing on before the snow They got the urge for going And they got the wings so they can go

They get the urge for going
When the meadow grass is turning brown
Summertime is falling down and winter is closing in

",7,18
George Hamilton IV,Walking The Floor Over You,1965-07-05,1965-10-18,"

I'm walking the floor over you I can't sleep a wink that is true
I'm hoping and I'm praying as my heart breaks right in two
Walking the floor over you

You left me and you went away you said that you'd be back in just a day
You've broken your promise and you left me here alone
Don't know why you did dear but I do know that you're gone
I'm walking the floor over you...

Now someday you may be lonesome too walking the floor is good for you
Now just keep right on walking and it won't hurt your pride
Remember that I loved you and I will the day I die
I'm walking the floor over you...

",18,16
George Jones,A Day In The Life Of A Fool,1972-02-21,1972-03-20,"

Off to work with no kiss of goodbye
Wear a smile on my face but I lied
Cup of coffee at the corner cafe
Catch the bus, read the news on my way
Those emotions the whole mornin' through
Start a day in the life of a fool
Sometimes I dial our number in hopes you return
But there's never an answer, guess I'll never learn
Hurry home, as tomorrow is through
Check the mail box no letter from you
Then I rush up the stairs to my memories, again
That's the day in the life of a fool
Yes, I rush up the stairs to my memories of you
That's the day in the life of a fool...

",30,5
George Jones,A Girl I Used To Know,1962-10-01,1963-01-28,"

There's a picture that I carry
One we made some time ago
If they ask who's in the picture with me
I say just a girl, I used to know
Just a girl, I used to go around with
Just a friend, from long ago
I don't tell them how lost I am without her
I say she's just a girl, I used to know
I say, she's just another girl now
Just a flame, that's lost it's glow
And I say, her name has slipped my mind now
And she's just a girl, I used to know
Just a girl, I used to spend some time with
Just a friend, from long ago
I don't talk about the nights I cry about her
I say she's just a girl, I used to know
Just a girl I used to know...

",3,18
George Jones,A Good Year For The Roses,1970-11-23,1971-02-22,"

[Verse 1]
I can hardly bear the sight of lipstick
On the cigarettes there in the ashtray
Lying cold the way you left them
At least your lips caressed them while you packed
And a lip print on a half filled cup of coffee
That you poured and didn't drink
But at least you thought you wanted it
And that's so much more than I can say for me

[Chorus]
But what a good year for the roses
Many blooms still linger there
The lawn could stand another mowing
It's funny, I don't even care
When you turned and walked away
And as the door behind you closes
The only thing I know to say
It's been a good year for the roses

[Verse 2]
After three full years of marriage
It's the first time that you haven't made the bed
I guess the reason we're not talking
There's so little left to say, we haven't said
While a million thoughts go running through my mind
I find I haven't spoke a word
And from the bedroom those familiar sounds
Of our one baby's cryin' goes unheard

[Chorus]
But what a good year for the roses
Many blooms still linger there
The lawn could stand another mowing
It's funny, I don't even care
And when you turned to walk away
And as the door behind you closes
The only thing I know to say
It's been a good year for the roses

",2,14
George Jones,A Picture Of Me (Without You),1972-10-30,1973-02-05,"

(Norro Wilson - George Richey)
Imagine a world where no music was playing
Then think of a church where nobody's praying
If you've ever looked up at a sky with no blue
Then you've seen a picture of me without you
Have you walked in a garden where nothing was growing
Or stood by a river where nothing was flowing
If you've seen a red rose unkissed by the dew
Then you've seen a picture of me without you
Can you picture Heaven with no angels singing
Or a quiet Sunday morning with no church bells ringing
If you've watched as the heart of a child's breaks in two
Then you've seen a picture of me without you...

",5,15
George Jones,As Long As I Live,1968-07-01,1968-09-23,"

I'll love you dear, as long as I live
It was easy said the night we parted
That we'd forget we'd ever met
I haven't forgotten, I wonder if you have
Or if your heart is full of regret
As long as I live if it be one hour
Or if it be one hundred years
I'll keep remembering forever and ever
I'll love you dear, as long as I live
Oh, I never thought that night we parted
That life alone would be oh, so bad
I know it sounds funny but I can't forget you
You're the only joy that I've ever had
As long as I live if it be one hour
Or if it be one hundred years
I'll keep remembering forever and ever
I'll love you dear, as long as I live
I'll love you dear, as long as I live...

",3,13
George Jones,Big Fool Of The Year,1962-10-08,1962-12-03,"

All the big fools in town got together
Every hopeless lovin' heart I know was there
We all sat around and told our own best story
Then they made me the big fool of the year
Oh, they gave to me a little golden statue
Of the torch that I carried for you, dear
They said no one else could even come close to me
And that I was the big fool of the year
I'll put mine up beside
Any foolish love in town
'Cause there's none can hold a light
To this torch I carried round
I can't say I'm to proud of the honor
But then I guess I do deserve it, dear
For to love you after all you've made me suffer
Surely makes me the big fool of the year
Yes, you've made me the big fool of the year...

",13,9
George Jones,Big Harlan Taylor,1959-11-23,1960-02-22,"

(Written by Roger Miller)
Chorus:
Oh the ways of the world, and the wants of a woman
If I figured them all out 'twould take many years
I once had a sweetheart, the fairest of maidens
She outshined all others that I'd known by far
I had a friend, a big fella, named big Harlan Taylor
Harlan had a rubber-tired, new shiny car
Chorus:
Oh the ways of the world, and the wants of a woman
If I figured them all out 'twould take many years
By the wants of a woman she fell for big Harlan
I tried, but in vain, for to take my own life
Suddenly I had lost all my will to keep livin'
She lost her desire to become my young wife
Chorus:
Oh the ways of the world, and the wants of a woman
If I figured them all out 'twould take many years
I wanted revenge and waylaid for big Harlan
Then I started wondrin' what good would it do
If a rubber-tired, new shiny car's her ambition
Then she can just have it and big Harlan, too
Chorus:
Oh the ways of the world, and the wants of a woman
If I figured them all out 'twould take many years
If I figured them all out it would take many years...

",19,12
George Jones,Family Bible,1961-05-29,1961-06-05,"

(Paul Buskirk - Claude Gray - Walt Breeland
There's A Fam'ly Bible on the table
Each page is torn and hard to read
But The Fam'ly Bible on the table
Will ever be my key to memories
At the close of day when work was over
And when the evening meal was done
Dad would read to us from The Fam'ly Bible
And we'd count our many blessings one by one
Chorus:
I can see us sittin' 'round the table
When from The Fam'ly Bible Dad would read
I can hear my mother softly singing
Rock of Ages, Rock of Ages cleft for me
This old world of ours is full of troubles
But this world would oh, so better be
If we'd find more Bibles on the table
And mothers singing Rock of Ages cleft for me
Chorus:
I can see us sittin' 'round the table
When from The Fam'ly Bible Dad would read
I can hear my mother softly singing
Rock of Ages, Rock of Ages cleft for me...

",16,2
George Jones,Four-O-Thirty Three,1966-07-25,1966-11-07,"

We're the two new people that moved to the middle of the block
An' we're the talk of the town, an' don't you think we're not
For we've got love an' happiness; people envy us, you see
For we found Heaven right here on earth at Four-O-Thirty-Three
Yes, we found what most people are lookin' for
An' there's not a lotta money to spend on a real fine car
But it's a window where a bird flies an' sings so free
An' there's a whole lotta windows in this little house
At Four-O-Thirty-Three
The 4,000 lot proves what true love can do
Once a lonely place that was sold to me an' you
Oh, all around the house you can see little children play
An' they're not all other people's kids, we're proud to say
They are the symbol of our love for all the world to see
They're part of Heaven right here on earth at Four-O-Thirty-Three
At all hours of the day, you can see many people drive by
For a look at the house they think fell from the sky
They think that this place would make them happy as you an' me
Now the whole town's tryin' to buy this house at Four-O-Thirty-Three
The 4,000 lot proves what true love can do
Once a lonely place that was sold to me an' you
Oh, all around the house you can see little children play
An' they're not all other people's kids, we're proud to say
They are the symbol of our love for all the world to see
They're part of Heaven right here on earth at Four-O-Thirty-Three
We're not a-gonna sell our happy little house at Four-O-Thirty-Three
Wouldn't take a pretty penny for our lucky little house
At Four-O-Thirty-Three...

",5,16
George Jones,I Can't Get There From Here,1967-05-29,1967-09-04,"

(They all say I can't get there from here.)
I'm looking for the town where sadness can't be found
Where happiness is blooming all year 'round
A place where there's no heartaches and no one crys a tear
But they all say I can't get there from here
Surely there's a place to rest a tortured mind
Oh, what I'd give if I could find
A place where there's no mem'ry of all those wasted years
But they all say I can't get there from here
--- Instrumental ---
Surely there's a place to rest a tortured mind
Oh, what I'd give if I could find
A place where there's no mem'ry of all those wasted years
But they all say I can't get there from here
They all say I can't get there from here...

",5,15
George Jones,I'll Follow You (Up To Our Cloud),1971-10-04,1971-12-13,"

I've been told my days are numbered
Soon mother earth will claim me for her own
But I won't go, we just started
And I just can't leave you here all alone
So my life must go on living
My heart must keep on beating true somehow
I'll let go when you leave me
Then I'll follow you on up to our cloud
My arms will hold you all your lifetime
My love for you will always keep them stong
I'll let go when it's your time
And you'll never be alone very long
Then my life can stop it's living
My heart can stop it's beating and rest now
And I'll let go 'cause you'll be with me
And I'll follow you on up to our cloud
Yes, I'll follow you on up to our cloud...

",13,11
George Jones,I'll Share My World With You,1969-03-31,1969-07-21,"

(Ben Wilson)
(Can't you see that I'm waiting to share my world with you.)
I'll share my world with you, everything that I own
My earthly possessions, they're no good if I'm alone
Let me bring you the sunshine when it's fresh with morning dew
Can't you see that I'm waiting to share my world with you
I'll share my world with you if you'll be mine, alone
I'll give you a new heart, you're the only love it's known
Let me give you my two arms, they'll be happy if you do
Can't you see they are waiting to share my world with you
--- Instrumental ---
I'll share my world with you, everything that you see
Divide all the memories, one for you and one for me
Let me give you my two lips, they'll be smiling when you do
Can't you see they are waiting to share my world with you...

",2,17
George Jones,I'm A People,1966-03-07,1966-06-27,"

(Dallas Frazier)
George Jones
Now if I was a monkey, a-workin' for a livin'
I'd be a-gettin' instead of a-givin'
A-hangin' by my tail, a-waitin' for the dinner bell
Puttin' humans on
Every day them fools rush in
And lay down the cash and watch me grin
I put 'em all on, I'd hum a little song
An' watch 'em all go tee-hee
But I spell a P, a little bitty E
Sweet bop, bop, bop, sh-shoo, shoobie doobie doh
In a little round O
Now you add another P, a big skinny L
There's a-one more E
An' you got a people that looks like, me
Now a monkey don't have to go down town
An' ask for a job an' gettin' turned down
I'm mad at me, I could smash me
'Cause I am a people
--- Instrumental ---
Now, a monkey don't have to shoot an' speak
All he do is scratch his fleas
Oh, me, what luxury
But I'm a people
Now I spell a P, a little bitty E
Sweet bop, bop, bop, a-shoo, shoobie doobie doh
In a little round O
Now you add another P, a big skinny L
There's a-one more E
An' you got a creature that looks like, me
Now if anyone knocked on my door today
There'd be a little sign says: Gone away
Down to the zoo, diggin' you know who
'Cause I'm a people
Now I spell a P, a little bitty E
Sweet bop, bop, bop, sh-shoo, shoobie doobie doh
In a little round O
Now you add another P, a big skinny L
There's a-one more E
An' you got a creature that looks like, me...

",6,17
George Jones,If I Don't Love You (Grits Ain't Groceries),1958-12-08,1958-12-08,"

Well, you got my heart a-feelin' used and junky
The road of love is gettin' mighty, mighty bumpy
Tell me pretty mama have I filled your heart with hate?
Well, with someone new you're affiliated
And it's makin' me feel like I'm outdated
If I don't love you grits ain't groceries
And that's on every poor mans plate
Well, let me know honey, tell me what's a-matter
Lat me know what's on your mind
If I don't love you ain't a cow in texas
They raise 'em there all the time
Well, I don't want to soumd like I'm demandin'
I just wanta get a little understanding
If I don't love you grits ain't groceries
And that's on every poor mans plate
--- Instrumental ---
Well, won't you tell me something, baby
Tell me what's a-matter
Let me know what's on your mind
If I don't love you ain't a cow in texas
They raise 'em there all the time
Well, I don't want to sound like I'm demandin'
I just wanta get a little understanding
If I don't love you grits ain't groceries
And that's on every poor mans plate...

",29,1
George Jones,If My Heart Had Windows,1967-10-16,1968-01-29,"

If my heart had windows
You'd see a heart
Full of love just for you
A tear may appear
When I hold you near
But that's for the the few
Things you do
If my heart had windows
You'd see a heart
Full of love just for you
By youir side I will stay
Till we're old and gray
Well, I miss those
Young moments we knew
If my heart had windows
You'd see a heart
Full of love just for you
--- Instrumental ---
A theif couldn't steal
The love that I feel
Heaven for me has come true
If my heart had windows
You'd see a heart
Full of love just for you
If my heart had windows
You'd see a heart
Full of love just for you...

",7,16
George Jones,If Not For You,1969-07-21,1969-10-13,"

If anything I am or hope to be
If any compliments are paid to me
If any praises I receive for anything that I acheive
I'll never rightfully belong to you
For when I wonder you convinced me that I could
Knowing you depended on me proved I should
And in your mind you never doubted that I would
But what would I do (what would I do) if not for you
I see admiration in your eyes
And I believe you think I hung the moon
And if I fail like other men or find the will to try again
But anything I am begins with you
For when I wonder you convinced me that I could
Knowing you depended on me proved I should
And in your mind you never doubted that I would
But what would I do (what would I do) if nor for you
What would I do (what would I do) if nor for you...

",6,13
George Jones,Least Of All,1965-01-25,1965-05-03,"

(Oh, least of all,)
(Least of all you)

Who in all this world did I
Think would be untrue
Woh woh, least of all
Least of all, you

Who did I expect the last
And tell me we were through
Wooh, least of all
Least of all, you

You, who were so understanding me
Who said to me
We would always be together
Through eternity

Who now would I like to see
Her the way I do
Wooh, least of all
Least of all, you

You who were so understanding me
Who said to me
We would always be together
Through eternity

Who now would I like to see
Her the way I do
Woh Woh, least of all
Least of all, you

Ohh, least of all
Least of all, you...

",15,15
George Jones,Loving You Could Never Be Better,1972-05-22,1972-08-14,"

George Jones
Collector's Edition
Loving You Could Never Be Better
Well, here we are again
Tonight alone just us two
Where the lights are dim
And true love is coming through
There's no one else in this whole world
As far as we're concerned
We built ourselves a fire so, let it burn
When you look at me
Like you do right now I go to pieces
Because I know what's on your mind it's just me
You've got that love me look in your eyes
Like you've had so many time and how
Loving you could never be better than it is right now
Tomorrow night we'll meet again
To once more fan the flame
'Cause loving you the way I do stays the same
This love of ours is just as strong
As any vow could be
And love could never be better for you and me
When you look at me
Like you do right now I go to pieces
Because I know what's on your mind it's just me
You've got that love me look in your eyes
Like you've had so many time and how
Loving you could never be better than it is right now
Loving you could never be better than it is right now

",2,13
George Jones,Money To Burn,1959-11-23,1960-02-22,"

(Memories of an old love, the one I left behind.)
Everywhere you seem to go there I suppose you'll find a yearn
Oh, how I'd like to be that man, he's got money to burn
Oh, how I'd like to be that man, he's got money to burn
It's money in my pocket but heartaches in my heart
And how many times have you heard it said
A fool and his money will part
I thought money it was everything and was all I'd ever need
Oh, but a man without a womans love is like a garden without seed
Oh, but a man without a womans love is like a garden without seed
Yes, money in my pockets and memoies on my mind
Memories of an old love, the one I left behind
--- Instrumental ---
I'm a rich man in pennies but oh, what I paid to learn
A wealth of love is worth much more than all my money to burn
A wealth of love is worth much more than all my money to burn
I thought money in my pocket was all I'd ever need
Oh, but a man without a woman's love is like a garden without seed
Oh, but a man without a womans love is like a garden without seed...

",15,12
George Jones,My Tears Are Overdue,1964-02-03,1964-03-30,"

(Freddie Hart)
(Just hang around my tears are overdue)
If you want to see somebody cry their heart out
For a love they lost and must live without
If you're not afraid my misery might rub off on you
Just hang around my tears are overdue
If you want to hear confessions from a broken man
Who once held a world of love, right in his hands
If you wanna see a heartbreak. right in two in front of you
Just hang around my tears are overdue
Now there's not a way that I can say how much it really hurts
When a broken heart and guilty conscience starts to work
I hope you won't forget the sight you see today
Just remember love I had then threw away
If you're not afraid my misery might rub off on you
Just hang around my tears are overdue
Just hang around my tears are overdue...

",15,9
George Jones,Not What I Had In Mind,1963-02-04,1963-06-03,"

(Jack Clement)
Just thought I'd have a little fun and paint the town
I always said someday I'll walk the line
But now she's gone and I'm the bluest guy around
And that's not exactly what I had in mind
I thought that I could play the field and be a clown
I broke the heart that loves me anytimes
Yes, I know that I'm the biggest fool in town
And that's not exactly what I had in mind
I didn't mean for thing to get so out of hand
I always meant to make it up in kind
But now she's gone, she hate the very sight of me
And that's not exactly what I had in mind
--- Instrumental ---
I told myself, go play around you're young and free
To late I found that I was, oh so blind
I lost a love I never did deserve at all
But that's not exactly what I had in mind
No, that's not exactly what I had in mind...

",7,18
George Jones,Nothing Ever Hurt Me (Half As Bad As Losing You),1973-06-25,1973-09-10,"

[Verse 1]
Well, I've had a splitting headache from my eyebrows to my backbone
Arthritis, appendicitis, Bright's Disease, and gall stones
Bleeding ulcers, ingrown toe nails, swollen adenoids
The Asian Flu a time or two, and inflamed vocal chords
I've had a toothache so severe my jawbone split in two
But nothing's ever hurt me half as bad as losing you

[Verse 2]
Well, I've had the lit end of a cigar pressed against my belly
Whupped on with a crowbar till my eyeball turned to jelly
Accidentally nailed my index finger to the wall
Cut off half my toes and soaked my foot in alcohol
I've had my pelvis ruptured by an angry kangaroo
But nothing's ever hurt me half as bad as losing you

[Bridge]
Well, it's not because you measure fifty, twenty, forty-four
It's surely not because you own a chain of liquor stores
It's not because your daddy is the richest man in town
It's just that I've grown used to you and having you around

[Verse 3]
I've had my parents tell me, ""Son, we don't love you at all""
I've seen my sister's name written on a washroom wall
My best friend set my barn on fire burned my horse to death
I went out with a girl who told me, ""George, you've got bad breath""
Last week I drew a crowd when I went to the city zoo
But nothing's ever hurt me half as bad as losing you

[Verse 1]
Well, I've had a splitting headache from my eyebrows to my backbone
Arthritis, appendicitis, Bright's Disease, and gall stones
Bleeding ulcers, ingrown toe nails, swollen adenoids
The Asian Flu a time or two, and inflamed vocal chords
I've had a toothache so severe my jawbone split in two
But nothing's ever hurt me half as bad as losing you

",7,12
George Jones,Old Brush Arbors,1966-06-20,1966-08-01,"

(Darrell Edwards - Gordon Ardis)
(Old brush arbors by the side of the road.)
I remember them so clearly
Mom and dad loved them so dearly
Old brush arbors by the side of the road
Where I learned about salvation
From the book of Revelation
And in arbors by the side of the road
Chorus:
Old brush arbors by the side of the road
Where a sinner could lay down his heavy load
It was in those old brush arbors
Troubled souls found peaceful habor
Brush arbors by the side of the road
--- Instrumental ---
Many times I had departed
From the way of life I started
In them arbors by the side of the road
But each time the devil caught me
I remember what they taught me
In brush arbors by the side of the road
Chorus:
Old brush arbors by the sude of the road
Where the mighty light of God's great mercy flowed
There was praying, shouting, singing
Till the country side was ringing
Brush arbors by the side of the road...

",30,7
George Jones,Once You've Had The Best,1973-12-03,1974-03-04,"

I'm so glad to have you back within these arms of mine
I can finally close these eyes and get some rest
Never once did I think of finding someone new
Cause there's nothing better, once you've had the best
You're the very thing they sing about in love songs
And one mistake don't mean you've failed the test
And as you lay beside me softly sleeping this I know
There's nothing better, once you have the best
Within your arms, I've had the best
And I think the world should know
I don't care what you've said or done
I'll always love you so
You've got more love in your little finger than all the rest
And there's nothing better, once you've had the best
No, there's nothing better, once you've had the best...

",3,14
George Jones,Open Pit Mine,1962-07-16,1962-09-24,"

From Morenci, Arizona where the copper mines glow
I could see Clifton in the canyon below
In Clifton lived Rosey, we danced and we dined
On the money I made in the open pit mine
I loved my sweet Rosey and she loved me too
There was nothin' for Rosey that I wouldn't do
Her hugs and her kisses they were something devine
Gave me reason for working the open pit mine
--- Instrumental ---
While I was out walkin' with my Rosey one day
We passed a store window with rings on display
I bought those she wanted, how they really did shine
With the money I scraped from that open pit mine
Her love would bring heartbreak that I would soon learn
'Cause she would two time me when my back was turned
Rosey would go dancin' and drink the red wine
While I worked like a slave in that open pit mine
--- Instrumental ---
One night I caught Rosey on her rendevous
She was huggin' and kissin' with somebody new
It was there that I shot 'em while their arms were entwined
Then I buried her deep in that open pit mine
I took a look at my future and what did I see
There was nothin' but trouble a-waiting for me
But on the sun's next rising I'll be satisfied
'Cause they'll find me there sleepin' by my sweet Rosey's side...

",13,11
George Jones,Out Of Control,1960-08-22,1960-08-29,"

(George Jones - Darrell Edwards - Herbie Treece)
What goes wrong with the mind of a man in a bar
Who sits and keep drinking with his thoughts strayed so far
It's the same old sad story that has often been told
One drink then another till he's out of control
As he sits at a table with his hands on the glass
For him there's no future there's only the past
He reaches for the bottle but his hands don't take hold
His eyes just can't focus he's out of control
Does he search for contentment that he might hope to find
From a honky tonk woman or the bottles of wine
He shakes and he trembles even though he's not old
Like a leaf in a whirlwind he's out of control
Yes I'm just like that fellow who sits there all alone
With no one to love me no family at home
I'm a picture of others with a future so cold
A life ain't worth livin' when it's out of control...

",25,2
George Jones,Right Won't Touch A Hand,1971-06-14,1971-09-06,"

(Earl Momygomery)
The wind blows Sunday papers at my feet
As I walk down this cold and lonely street
My hands searched through my pockets for a dime
While the memory of you eats away my mind
And looking back I see that I was wrong
But the road I'm on don't lead me back to home
And I can't turn back 'cause everything is gone, yes, it's gone
Right won't touch a hand that's filled with wrong
I was filled with so much jealousy
And doubted all the love you had for me
But now I see the kind of fool I've been
And I'll never see the one I love again
Cause, looking back I see that I was wrong
But the road I'm on don't lead me back to home
And I can't turn back 'cause everything is gone, yes, it's gone
Right won't touch a hand that;s filled with wrong
Right won't touch a hand that's filled with wrong...

",7,13
