Artist,Song,Date,Current Rank,Last Weeks Position,Weeks on Chart,Peak Position
Eddie Hodges,I'm Gonna Knock On Your Door,1961-06-26,79,91,79,2
Ernie Fields,The Charleston,1961-06-26,80,97,80,2
The Delacardos,Hold Back The Tears,1961-06-26,81,82,81,4
The Spinners,That's What Girls Are Made For,1961-06-26,82,0,0,0
The Fireballs,Quite A Party,1961-06-26,83,0,0,0
Ray Charles,I'm Gonna Move To The Outskirts Of Town,1961-06-26,84,87,84,2
Ferrante & Teicher,"(Theme From) ""Goodbye Again""",1961-06-26,85,88,85,3
Frankie Calen,Joanie,1961-06-26,86,96,86,3
Jan & Dean,Heart And Soul,1961-06-26,87,0,0,0
The Echoes,Sad Eyes (Don't You Cry),1961-06-26,88,89,88,3
Billy Vaughn And His Orchestra,Blue Tomorrow,1961-06-26,89,90,89,3
Ernie K-Doe,Te-Ta-Te-Ta-Ta,1961-06-26,90,0,0,0
Adam Wade,Point Of No Return,1961-06-26,91,93,91,2
Marty Robbins,Jimmy Martinez,1961-06-26,92,51,51,5
Jeanette (Baby) Washington,Nobody Cares (about me),1961-06-26,93,60,60,9
Lawrence Welk And His Orchestra,Yellow Bird,1961-06-26,94,72,72,3
Jorgen Ingmann & His Guitar,Anna,1961-06-26,95,59,54,6
Kay Starr,I'll Never Be Free,1961-06-26,96,100,96,2
Wanda Jackson,Right Or Wrong,1961-06-26,97,76,76,4
Joe Dowell,Wooden Heart,1961-06-26,98,0,0,0
Slim Harpo,Rainin' In My Heart,1961-06-26,99,-,69,4
Nat King Cole,Take A Fool's Advice,1961-06-26,100,0,0,0
U.S. Bonds,Quarter To Three,1961-07-03,1,1,1,7
Bobby Lewis,Tossin' And Turnin',1961-07-03,2,4,2,11
Brook Benton,The Boll Weevil Song,1961-07-03,3,7,3,8
Dee Clark,Raindrops,1961-07-03,4,2,2,10
Adam Wade,The Writing On The Wall,1961-07-03,5,6,5,8
Pat Boone,Moody River,1961-07-03,6,3,1,10
Ricky Nelson,Travelin' Man,1961-07-03,7,5,1,11
Pips,Every Beat Of My Heart,1961-07-03,8,8,8,8
Little Caesar and The Romans,Those Oldies But Goodies (Remind Me Of You),1961-07-03,9,9,9,10
Arthur Lyman Group,Yellow Bird,1961-07-03,10,11,10,6
Ben E. King,Stand By Me,1961-07-03,11,10,4,9
Paul Anka,Dance On Little Girl,1961-07-03,12,13,12,6
Del Shannon,Hats Off To Larry,1961-07-03,13,18,13,5
Roy Orbison,Running Scared,1961-07-03,14,14,1,13
Ricky Nelson,Hello Mary Lou,1961-07-03,15,16,9,10
Floyd Cramer,San Antonio Rose,1961-07-03,16,19,16,5
Clarence Henry,You Always Hurt The One You Love,1961-07-03,17,12,12,8
The Regents,Barbara-Ann,1961-07-03,18,17,13,8
The Belmonts,Tell Me Why,1961-07-03,19,20,19,7
Brenda Lee,Dum Dum,1961-07-03,20,31,20,3
The Drifters,Please Stay,1961-07-03,21,38,21,5
The Cleftones,Heart And Soul,1961-07-03,22,22,18,7
Jackie Wilson,I'm Comin' On On Back To You,1961-07-03,23,32,23,4
Fats Domino,It Keeps Rainin',1961-07-03,24,28,24,8
Chris Kenner,"I Like It Like That, Part 1",1961-07-03,25,41,25,6
Bill Black's Combo,Ole Buttermilk Sky,1961-07-03,26,34,26,5
Faron Young,Hello Walls,1961-07-03,27,21,12,13
The Velvets featuring Virgil Johnson,Tonight (Could Be The Night),1961-07-03,28,30,28,6
Philip Upchurch Combo,You Can't Sit Down Part 2,1961-07-03,29,39,29,3
The Edsels,Rama Lama Ding Dong,1961-07-03,30,25,21,10
The Marathons,Peanut Butter,1961-07-03,31,23,20,11
Matt Monro,My Kind Of Girl,1961-07-03,32,33,32,6
Connie Francis,Together,1961-07-03,33,48,33,2
Sam Cooke,Cupid,1961-07-03,34,36,34,5
Elvis Presley,I Feel So Bad,1961-07-03,35,15,5,8
The Chordettes,Never On Sunday,1961-07-03,36,68,36,3
Les Paul And Mary Ford,Jura (I Swear I Love You),1961-07-03,37,43,37,9
The Castells,Sacred,1961-07-03,38,50,38,6
Chubby Checker,Let's Twist Again,1961-07-03,39,62,39,3
The Coasters,Little Egypt (Ying-Yang),1961-07-03,40,29,23,11
Roy Drusky,Three Hearts In A Tangle,1961-07-03,41,35,35,13
Joe Barry,I'm A Fool To Care,1961-07-03,42,24,24,11
Adrian Kimberly,The Graduation Song... Pomp And Circumstance,1961-07-03,43,63,43,2
The Everly Brothers,Temptation,1961-07-03,44,27,27,6
Don Costa And His Orchestra And Chorus,Never On Sunday,1961-07-03,45,59,19,24
The Starlets,Better Tell Him No,1961-07-03,46,44,38,11
Bobby Darin,Nature Boy,1961-07-03,47,51,47,4
Jan & Dean,Heart And Soul,1961-07-03,48,87,48,2
Patsy Cline,I Fall To Pieces,1961-07-03,49,54,49,7
Etta James,Fool That I Am,1961-07-03,50,61,50,4
The String-A-Longs,Should I,1961-07-03,51,52,51,4
Hank Ballard And The Midnighters,The Switch-A-Roo,1961-07-03,52,77,52,2
Patti Page,You'll Answer To Me,1961-07-03,53,67,53,2
Elvis Presley With The Jordanaires,Wild In The Country,1961-07-03,54,26,26,5
Etta James,Dream,1961-07-03,55,72,55,2
Bobby Parker,Watch Your Step,1961-07-03,56,65,56,4
James Brown And The Famous Flames,I Don't Mind,1961-07-03,57,47,47,8
Don Gibson,Sea Of Heartbreak,1961-07-03,58,73,58,3
Slim Harpo,Rainin' In My Heart,1961-07-03,59,99,59,5
Bobby Rydell,The Fish,1961-07-03,60,0,0,0
The Spinners,That's What Girls Are Made For,1961-07-03,61,82,61,2
Donnie and The Dreamers,Count Every Star,1961-07-03,62,40,35,10
The Fireballs,Quite A Party,1961-07-03,63,83,63,2
The Fleetwoods,Tragedy,1961-07-03,64,37,10,12
Ernie Fields,The Charleston,1961-07-03,65,80,65,3
Neil Scott,Bobby,1961-07-03,66,74,66,4
The Dukays,The Girl's A Devil,1961-07-03,67,71,67,8
Mar-Keys,Last Night,1961-07-03,68,0,0,0
Joe Dowell,Wooden Heart,1961-07-03,69,98,69,2
The Chanters,"No, No, No",1961-07-03,70,78,70,3
Ray Charles,I've Got News For You,1961-07-03,71,66,66,3
Brenda Lee,Eventually,1961-07-03,72,0,0,0
Patti Page,Mom And Dad's Waltz,1961-07-03,73,75,73,4
Curtis Lee,Pretty Little Angel Eyes,1961-07-03,74,0,0,0
Lawrence Welk And His Orchestra,Yellow Bird,1961-07-03,75,94,72,4
Andy Stewart,A Scottish Soldier (Green Hills of Tyrol),1961-07-03,76,69,69,6
Ernie K-Doe,Te-Ta-Te-Ta-Ta,1961-07-03,77,90,77,2
The Delacardos,Hold Back The Tears,1961-07-03,78,81,78,5
Eddie Hodges,I'm Gonna Knock On Your Door,1961-07-03,79,79,79,3
Johnny Crawford,Daydreams,1961-07-03,80,70,70,4
Damita Jo,I'll Be There,1961-07-03,81,0,0,0
Frankie Calen,Joanie,1961-07-03,82,86,82,4
The Flamingos,Time Was,1961-07-03,83,0,0,0
Gene McDaniels,A Tear,1961-07-03,84,0,0,0
Linda Scott,Don't Bet Money Honey,1961-07-03,85,0,0,0
Tex Ritter,I Dreamed Of A Hill-Billy Heaven,1961-07-03,86,0,0,0
Billy Vaughn And His Orchestra,Blue Tomorrow,1961-07-03,87,89,87,4
Nat King Cole,Take A Fool's Advice,1961-07-03,88,100,88,2
Adam Wade,Point Of No Return,1961-07-03,89,91,89,3
George Jones,Tender Years,1961-07-03,90,0,0,0
Frank Sinatra,Granada,1961-07-03,91,0,0,0
The Jive Five With Joe Rene And Orchestra,My True Story,1961-07-03,92,0,0,0
Ferrante & Teicher,"(Theme From) ""Goodbye Again""",1961-07-03,93,85,85,4
Kay Starr,I'll Never Be Free,1961-07-03,94,96,94,3
Frank Gari,Princess,1961-07-03,95,0,0,0
Ray Ellis And His Orchestra,La Dolce Vita (The Sweet Life),1961-07-03,96,0,0,0
The Miracles,Broken Hearted,1961-07-03,97,0,0,0
The Diamonds,One Summer Night,1961-07-03,98,0,0,0
Rick And The Keens,Peanuts,1961-07-03,99,0,0,0
Joe Reisman Orch. & Chorus,The Guns Of Navarone,1961-07-03,100,0,0,0
Bobby Lewis,Tossin' And Turnin',1961-07-10,1,2,1,12
Brook Benton,The Boll Weevil Song,1961-07-10,2,3,2,9
U.S. Bonds,Quarter To Three,1961-07-10,3,1,1,8
Dee Clark,Raindrops,1961-07-10,4,4,2,11
Adam Wade,The Writing On The Wall,1961-07-10,5,5,5,9
Pips,Every Beat Of My Heart,1961-07-10,6,8,6,9
Pat Boone,Moody River,1961-07-10,7,6,1,11
Arthur Lyman Group,Yellow Bird,1961-07-10,8,10,8,7
Del Shannon,Hats Off To Larry,1961-07-10,9,13,9,6
Paul Anka,Dance On Little Girl,1961-07-10,10,12,10,7
Floyd Cramer,San Antonio Rose,1961-07-10,11,16,11,6
Ricky Nelson,Travelin' Man,1961-07-10,12,7,1,12
Brenda Lee,Dum Dum,1961-07-10,13,20,13,4
Chris Kenner,"I Like It Like That, Part 1",1961-07-10,14,25,14,7
Little Caesar and The Romans,Those Oldies But Goodies (Remind Me Of You),1961-07-10,15,9,9,11
Ben E. King,Stand By Me,1961-07-10,16,11,4,10
The Drifters,Please Stay,1961-07-10,17,21,17,6
The Belmonts,Tell Me Why,1961-07-10,18,19,18,8
Jackie Wilson,I'm Comin' On On Back To You,1961-07-10,19,23,19,5
Connie Francis,Together,1961-07-10,20,33,20,3
Ricky Nelson,Hello Mary Lou,1961-07-10,21,15,9,11
Roy Orbison,Running Scared,1961-07-10,22,14,1,14
Fats Domino,It Keeps Rainin',1961-07-10,23,24,23,9
The Chordettes,Never On Sunday,1961-07-10,24,36,24,4
Bill Black's Combo,Ole Buttermilk Sky,1961-07-10,25,26,25,6
The Velvets featuring Virgil Johnson,Tonight (Could Be The Night),1961-07-10,26,28,26,7
Chubby Checker,Let's Twist Again,1961-07-10,27,39,27,4
Sam Cooke,Cupid,1961-07-10,28,34,28,6
Philip Upchurch Combo,You Can't Sit Down Part 2,1961-07-10,29,29,29,4
The Cleftones,Heart And Soul,1961-07-10,30,22,18,8
The Castells,Sacred,1961-07-10,31,38,31,7
Matt Monro,My Kind Of Girl,1961-07-10,32,32,32,7
Jan & Dean,Heart And Soul,1961-07-10,33,48,33,3
Adrian Kimberly,The Graduation Song... Pomp And Circumstance,1961-07-10,34,43,34,3
Clarence Henry,You Always Hurt The One You Love,1961-07-10,35,17,12,9
Slim Harpo,Rainin' In My Heart,1961-07-10,36,59,36,6
Bobby Rydell,The Fish,1961-07-10,37,60,37,2
Don Gibson,Sea Of Heartbreak,1961-07-10,38,58,38,4
Faron Young,Hello Walls,1961-07-10,39,27,12,14
Bobby Darin,Nature Boy,1961-07-10,40,47,40,5
Hank Ballard And The Midnighters,The Switch-A-Roo,1961-07-10,41,52,41,3
The Regents,Barbara-Ann,1961-07-10,42,18,13,9
Mar-Keys,Last Night,1961-07-10,43,68,43,2
Patsy Cline,I Fall To Pieces,1961-07-10,44,49,44,8
The Spinners,That's What Girls Are Made For,1961-07-10,45,61,45,3
Curtis Lee,Pretty Little Angel Eyes,1961-07-10,46,74,46,2
Patti Page,You'll Answer To Me,1961-07-10,47,53,47,3
The Marathons,Peanut Butter,1961-07-10,48,31,20,12
The String-A-Longs,Should I,1961-07-10,49,51,49,5
The Starlets,Better Tell Him No,1961-07-10,50,46,38,12
Bobby Parker,Watch Your Step,1961-07-10,51,56,51,5
Les Paul And Mary Ford,Jura (I Swear I Love You),1961-07-10,52,37,37,10
Roy Drusky,Three Hearts In A Tangle,1961-07-10,53,41,35,14
Etta James,Fool That I Am,1961-07-10,54,50,50,5
Joe Dowell,Wooden Heart,1961-07-10,55,69,55,3
Brenda Lee,Eventually,1961-07-10,56,72,56,2
Damita Jo,I'll Be There,1961-07-10,57,81,57,2
Patti Page,Mom And Dad's Waltz,1961-07-10,58,73,58,5
Don Costa And His Orchestra And Chorus,Never On Sunday,1961-07-10,59,45,19,25
Ernie K-Doe,Te-Ta-Te-Ta-Ta,1961-07-10,60,77,60,3
The Chanters,"No, No, No",1961-07-10,61,70,61,4
The Fireballs,Quite A Party,1961-07-10,62,63,62,3
Eddie Hodges,I'm Gonna Knock On Your Door,1961-07-10,63,79,63,4
The Dukays,The Girl's A Devil,1961-07-10,64,67,64,9
Neil Scott,Bobby,1961-07-10,65,66,65,5
Linda Scott,Don't Bet Money Honey,1961-07-10,66,85,66,2
Tex Ritter,I Dreamed Of A Hill-Billy Heaven,1961-07-10,67,86,67,2
Gene McDaniels,A Tear,1961-07-10,68,84,68,2
The Flamingos,Time Was,1961-07-10,69,83,69,2
The Edsels,Rama Lama Ding Dong,1961-07-10,70,30,21,11
Lawrence Welk And His Orchestra,Yellow Bird,1961-07-10,71,75,71,5
Ray Charles,I've Got News For You,1961-07-10,72,71,66,4
Rick And The Keens,Peanuts,1961-07-10,73,99,73,2
Frank Sinatra,Granada,1961-07-10,74,91,74,2
Ernie Fields,The Charleston,1961-07-10,75,65,65,4
Etta James,Dream,1961-07-10,76,55,55,3
The Jive Five With Joe Rene And Orchestra,My True Story,1961-07-10,77,92,77,2
Frank Gari,Princess,1961-07-10,78,95,78,2
Shep And The Limelites,Ready For Your Love,1961-07-10,79,0,0,0
Frankie Calen,Joanie,1961-07-10,80,82,80,5
George Jones,Tender Years,1961-07-10,81,90,81,2
The Coasters,Little Egypt (Ying-Yang),1961-07-10,82,40,23,12
Ral Donner,You Don't Know What You've Got (Until You Lose It),1961-07-10,83,0,0,0
Billy Vaughn And His Orchestra,Blue Tomorrow,1961-07-10,84,87,84,5
Adam Wade,Point Of No Return,1961-07-10,85,89,85,4
Elvis Presley,I Feel So Bad,1961-07-10,86,35,5,9
Nat King Cole,Take A Fool's Advice,1961-07-10,87,88,87,3
The Regents,Runaround,1961-07-10,88,0,0,0
B. Bumble & The Stingers,Boogie Woogie,1961-07-10,89,0,0,0
Ray Ellis And His Orchestra,La Dolce Vita (The Sweet Life),1961-07-10,90,96,90,2
The Miracles,Mighty Good Lovin',1961-07-10,91,0,0,0
The Shirelles,A Thing Of The Past,1961-07-10,92,0,0,0
Jose Jimenez,The Astronaut (Parts 1 & 2),1961-07-10,93,0,0,0
The Diamonds,One Summer Night,1961-07-10,94,98,94,2
Phill Wilson,Wishin' On A Rainbow,1961-07-10,95,0,0,0
Joe Reisman Orch. & Chorus,The Guns Of Navarone,1961-07-10,96,100,96,2
Frankie Miller,Black Land Farmer,1961-07-10,97,0,0,0
Joe Barry,I'm A Fool To Care,1961-07-10,98,42,24,12
Jim Reeves,What Would You Do?,1961-07-10,99,0,0,0
The Highwaymen,Michael,1961-07-10,100,0,0,0
Bobby Lewis,Tossin' And Turnin',1961-07-17,1,1,1,13
Brook Benton,The Boll Weevil Song,1961-07-17,2,2,2,10
U.S. Bonds,Quarter To Three,1961-07-17,3,3,1,9
Dee Clark,Raindrops,1961-07-17,4,4,2,12
Arthur Lyman Group,Yellow Bird,1961-07-17,5,8,5,8
Del Shannon,Hats Off To Larry,1961-07-17,6,9,6,7
Pips,Every Beat Of My Heart,1961-07-17,7,6,6,10
Floyd Cramer,San Antonio Rose,1961-07-17,8,11,8,7
Chris Kenner,"I Like It Like That, Part 1",1961-07-17,9,14,9,8
Brenda Lee,Dum Dum,1961-07-17,10,13,10,5
Paul Anka,Dance On Little Girl,1961-07-17,11,10,10,8
Pat Boone,Moody River,1961-07-17,12,7,1,12
Adam Wade,The Writing On The Wall,1961-07-17,13,5,5,10
Connie Francis,Together,1961-07-17,14,20,14,4
Chubby Checker,Let's Twist Again,1961-07-17,15,27,15,5
The Drifters,Please Stay,1961-07-17,16,17,16,7
Ricky Nelson,Travelin' Man,1961-07-17,17,12,1,13
The Belmonts,Tell Me Why,1961-07-17,18,18,18,9
The Chordettes,Never On Sunday,1961-07-17,19,24,19,5
Little Caesar and The Romans,Those Oldies But Goodies (Remind Me Of You),1961-07-17,20,15,9,12
Jackie Wilson,I'm Comin' On On Back To You,1961-07-17,21,19,19,6
Matt Monro,My Kind Of Girl,1961-07-17,22,32,22,8
Ben E. King,Stand By Me,1961-07-17,23,16,4,11
Roy Orbison,Running Scared,1961-07-17,24,22,1,15
Ricky Nelson,Hello Mary Lou,1961-07-17,25,21,9,12
The Velvets featuring Virgil Johnson,Tonight (Could Be The Night),1961-07-17,26,26,26,8
Sam Cooke,Cupid,1961-07-17,27,28,27,7
Fats Domino,It Keeps Rainin',1961-07-17,28,23,23,10
The Castells,Sacred,1961-07-17,29,31,29,8
Mar-Keys,Last Night,1961-07-17,30,43,30,3
Jan & Dean,Heart And Soul,1961-07-17,31,33,31,4
Bobby Rydell,The Fish,1961-07-17,32,37,32,3
Hank Ballard And The Midnighters,The Switch-A-Roo,1961-07-17,33,41,33,4
Slim Harpo,Rainin' In My Heart,1961-07-17,34,36,34,7
Joe Dowell,Wooden Heart,1961-07-17,35,55,35,4
Curtis Lee,Pretty Little Angel Eyes,1961-07-17,36,46,36,3
The Spinners,That's What Girls Are Made For,1961-07-17,37,45,37,4
Don Gibson,Sea Of Heartbreak,1961-07-17,38,38,38,5
Damita Jo,I'll Be There,1961-07-17,39,57,39,3
Bill Black's Combo,Ole Buttermilk Sky,1961-07-17,40,25,25,7
The Cleftones,Heart And Soul,1961-07-17,41,30,18,9
The String-A-Longs,Should I,1961-07-17,42,49,42,6
Philip Upchurch Combo,You Can't Sit Down Part 2,1961-07-17,43,29,29,5
Adrian Kimberly,The Graduation Song... Pomp And Circumstance,1961-07-17,44,34,34,4
Roy Drusky,Three Hearts In A Tangle,1961-07-17,45,53,35,15
Patti Page,You'll Answer To Me,1961-07-17,46,47,46,4
Clarence Henry,You Always Hurt The One You Love,1961-07-17,47,35,12,10
Bobby Darin,Nature Boy,1961-07-17,48,40,40,6
Linda Scott,Don't Bet Money Honey,1961-07-17,49,66,49,3
The Chanters,"No, No, No",1961-07-17,50,61,50,5
Patsy Cline,I Fall To Pieces,1961-07-17,51,44,44,9
The Fireballs,Quite A Party,1961-07-17,52,62,52,4
Ernie K-Doe,Te-Ta-Te-Ta-Ta,1961-07-17,53,60,53,4
Eddie Hodges,I'm Gonna Knock On Your Door,1961-07-17,54,63,54,5
Faron Young,Hello Walls,1961-07-17,55,39,12,15
Gene McDaniels,A Tear,1961-07-17,56,68,56,3
Ral Donner,You Don't Know What You've Got (Until You Lose It),1961-07-17,57,83,57,2
The Jive Five With Joe Rene And Orchestra,My True Story,1961-07-17,58,77,58,3
Patti Page,Mom And Dad's Waltz,1961-07-17,59,58,58,6
Neil Scott,Bobby,1961-07-17,60,65,60,6
The Flamingos,Time Was,1961-07-17,61,69,61,3
The Starlets,Better Tell Him No,1961-07-17,62,50,38,13
Tex Ritter,I Dreamed Of A Hill-Billy Heaven,1961-07-17,63,67,63,3
Frank Sinatra,Granada,1961-07-17,64,74,64,3
The Diamonds,One Summer Night,1961-07-17,65,94,65,3
Frank Gari,Princess,1961-07-17,66,78,66,3
Ernie Fields,The Charleston,1961-07-17,67,75,65,5
The Dukays,The Girl's A Devil,1961-07-17,68,64,64,10
The Highwaymen,Michael,1961-07-17,69,100,69,2
Bobby Parker,Watch Your Step,1961-07-17,70,51,51,6
Rick And The Keens,Peanuts,1961-07-17,71,73,71,3
The Miracles,Mighty Good Lovin',1961-07-17,72,91,72,2
Shep And The Limelites,Ready For Your Love,1961-07-17,73,79,73,2
Don Costa And His Orchestra And Chorus,Never On Sunday,1961-07-17,74,59,19,26
The Regents,Barbara-Ann,1961-07-17,75,42,13,10
Brenda Lee,Eventually,1961-07-17,76,56,56,3
George Jones,Tender Years,1961-07-17,77,81,77,3
Frankie Calen,Joanie,1961-07-17,78,80,78,6
The Regents,Runaround,1961-07-17,79,88,79,2
Ray Charles,I've Got News For You,1961-07-17,80,72,66,5
Nat King Cole,Take A Fool's Advice,1961-07-17,81,87,81,4
Donnie and The Dreamers,My Memories Of You,1961-07-17,82,0,0,0
The Halos,Nag,1961-07-17,83,0,0,0
Connie Francis,Too Many Rules,1961-07-17,84,0,0,0
Ray Ellis And His Orchestra,La Dolce Vita (The Sweet Life),1961-07-17,85,90,85,3
Frankie Miller,Black Land Farmer,1961-07-17,86,97,86,2
The Shirelles,What A Sweet Thing That Was,1961-07-17,87,0,0,0
Etta James,Fool That I Am,1961-07-17,88,54,50,6
Jim Reeves,What Would You Do?,1961-07-17,89,99,89,2
Jose Jimenez,The Astronaut (Parts 1 & 2),1961-07-17,90,93,90,2
Phill Wilson,Wishin' On A Rainbow,1961-07-17,91,95,91,2
The Shirelles,A Thing Of The Past,1961-07-17,92,92,92,2
Don Shirley Trio,Water Boy,1961-07-17,93,0,0,0
Claude King,"Big River, Big Man",1961-07-17,94,0,0,0
The Paragons,If,1961-07-17,95,0,0,0
Linda Scott,"Starlight, Starbright",1961-07-17,96,0,0,0
Steve Lawrence,My Claire De Lune,1961-07-17,97,0,0,0
Mary Wells,I Don't Want To Take A Chance,1961-07-17,98,0,0,0
Duane Eddy And The Rebels,Drivin' Home,1961-07-17,99,0,0,0
Little Willie John,Now You Know,1961-07-17,100,0,0,0
Bobby Lewis,Tossin' And Turnin',1961-07-24,1,1,1,14
Brook Benton,The Boll Weevil Song,1961-07-24,2,2,2,11
U.S. Bonds,Quarter To Three,1961-07-24,3,3,1,10
Arthur Lyman Group,Yellow Bird,1961-07-24,4,5,4,9
Chris Kenner,"I Like It Like That, Part 1",1961-07-24,5,9,5,9
Del Shannon,Hats Off To Larry,1961-07-24,6,6,6,8
Dee Clark,Raindrops,1961-07-24,7,4,2,13
Brenda Lee,Dum Dum,1961-07-24,8,10,8,6
Connie Francis,Together,1961-07-24,9,14,9,5
Chubby Checker,Let's Twist Again,1961-07-24,10,15,10,6
Floyd Cramer,San Antonio Rose,1961-07-24,11,8,8,8
Mar-Keys,Last Night,1961-07-24,12,30,12,4
Pips,Every Beat Of My Heart,1961-07-24,13,7,6,11
The Drifters,Please Stay,1961-07-24,14,16,14,8
The Chordettes,Never On Sunday,1961-07-24,15,19,15,6
Pat Boone,Moody River,1961-07-24,16,12,1,13
Sam Cooke,Cupid,1961-07-24,17,27,17,8
Joe Dowell,Wooden Heart,1961-07-24,18,35,18,5
Ricky Nelson,Travelin' Man,1961-07-24,19,17,1,14
The Castells,Sacred,1961-07-24,20,29,20,9
Matt Monro,My Kind Of Girl,1961-07-24,21,22,21,9
The Belmonts,Tell Me Why,1961-07-24,22,18,18,10
Ricky Nelson,Hello Mary Lou,1961-07-24,23,25,9,13
Curtis Lee,Pretty Little Angel Eyes,1961-07-24,24,36,24,4
Jan & Dean,Heart And Soul,1961-07-24,25,31,25,5
Hank Ballard And The Midnighters,The Switch-A-Roo,1961-07-24,26,33,26,5
Bobby Rydell,The Fish,1961-07-24,27,32,27,4
Damita Jo,I'll Be There,1961-07-24,28,39,28,4
Ben E. King,Stand By Me,1961-07-24,29,23,4,12
Roy Orbison,Running Scared,1961-07-24,30,24,1,16
The Spinners,That's What Girls Are Made For,1961-07-24,31,37,31,5
Jackie Wilson,I'm Comin' On On Back To You,1961-07-24,32,21,19,7
Don Gibson,Sea Of Heartbreak,1961-07-24,33,38,33,6
Paul Anka,Dance On Little Girl,1961-07-24,34,11,10,9
Ral Donner,You Don't Know What You've Got (Until You Lose It),1961-07-24,35,57,35,3
Linda Scott,Don't Bet Money Honey,1961-07-24,36,49,36,4
Patsy Cline,I Fall To Pieces,1961-07-24,37,51,37,10
Eddie Hodges,I'm Gonna Knock On Your Door,1961-07-24,38,54,38,6
Little Caesar and The Romans,Those Oldies But Goodies (Remind Me Of You),1961-07-24,39,20,9,13
Adam Wade,The Writing On The Wall,1961-07-24,40,13,5,11
The Highwaymen,Michael,1961-07-24,41,69,41,3
The Cleftones,Heart And Soul,1961-07-24,42,41,18,10
The Velvets featuring Virgil Johnson,Tonight (Could Be The Night),1961-07-24,43,26,26,9
Philip Upchurch Combo,You Can't Sit Down Part 2,1961-07-24,44,43,29,6
The Chanters,"No, No, No",1961-07-24,45,50,45,6
Patti Page,You'll Answer To Me,1961-07-24,46,46,46,5
The Regents,Runaround,1961-07-24,47,79,47,3
The String-A-Longs,Should I,1961-07-24,48,42,42,7
The Fireballs,Quite A Party,1961-07-24,49,52,49,5
Shep And The Limelites,Ready For Your Love,1961-07-24,50,73,50,3
Gene McDaniels,A Tear,1961-07-24,51,56,51,4
Gary U.S. Bonds,School Is Out,1961-07-24,52,0,0,0
The Starlets,Better Tell Him No,1961-07-24,53,62,38,14
The Jive Five With Joe Rene And Orchestra,My True Story,1961-07-24,54,58,54,4
Ernie Fields,The Charleston,1961-07-24,55,67,55,6
Fats Domino,Let The Four Winds Blow,1961-07-24,56,0,0,0
Tex Ritter,I Dreamed Of A Hill-Billy Heaven,1961-07-24,57,63,57,4
Neil Scott,Bobby,1961-07-24,58,60,58,7
The Flamingos,Time Was,1961-07-24,59,61,59,4
The Shirelles,What A Sweet Thing That Was,1961-07-24,60,87,60,2
The Diamonds,One Summer Night,1961-07-24,61,65,61,4
Frank Gari,Princess,1961-07-24,62,66,62,4
Roy Drusky,Three Hearts In A Tangle,1961-07-24,63,45,35,16
The Shirelles,A Thing Of The Past,1961-07-24,64,92,64,3
The Dukays,The Girl's A Devil,1961-07-24,65,68,64,11
Timi Yuro,Hurt,1961-07-24,66,0,0,0
Slim Harpo,Rainin' In My Heart,1961-07-24,67,34,34,8
The Miracles,Mighty Good Lovin',1961-07-24,68,72,68,3
Rick And The Keens,Peanuts,1961-07-24,69,71,69,4
The Halos,Nag,1961-07-24,70,83,70,2
Adrian Kimberly,The Graduation Song... Pomp And Circumstance,1961-07-24,71,44,34,5
Connie Francis,Too Many Rules,1961-07-24,72,84,72,2
Jerry Butler,I'm A Telling You,1961-07-24,73,0,0,0
Wanda Jackson,Right Or Wrong,1961-07-24,74,-,74,5
Mary Wells,I Don't Want To Take A Chance,1961-07-24,75,98,75,2
George Jones,Tender Years,1961-07-24,76,77,76,4
Nat King Cole,Take A Fool's Advice,1961-07-24,77,81,77,5
Adam Wade,As If I Didn't Know,1961-07-24,78,0,0,0
Donnie and The Dreamers,My Memories Of You,1961-07-24,79,82,79,2
Don Shirley Trio,Water Boy,1961-07-24,80,93,80,2
Frank Sinatra,Granada,1961-07-24,81,64,64,4
Fats Domino,It Keeps Rainin',1961-07-24,82,28,23,11
Frankie Miller,Black Land Farmer,1961-07-24,83,86,83,3
Bill Black's Combo,Ole Buttermilk Sky,1961-07-24,84,40,25,8
Ray Ellis And His Orchestra,La Dolce Vita (The Sweet Life),1961-07-24,85,85,85,4
Jim Reeves,What Would You Do?,1961-07-24,86,89,86,3
Duane Eddy And The Rebels,Drivin' Home,1961-07-24,87,99,87,2
Linda Scott,"Starlight, Starbright",1961-07-24,88,96,88,2
The Paragons,If,1961-07-24,89,95,89,2
Clyde McPhatter,I Never Knew,1961-07-24,90,0,0,0
Joe Reisman Orch. & Chorus,The Guns Of Navarone,1961-07-24,91,-,91,3
The McGuire Sisters,Tears On My Pillow,1961-07-24,92,0,0,0
Claude King,"Big River, Big Man",1961-07-24,93,94,93,2
Ernie K-Doe,Te-Ta-Te-Ta-Ta,1961-07-24,94,53,53,5
Steve Lawrence,My Claire De Lune,1961-07-24,95,97,95,2
Little Willie John,Now You Know,1961-07-24,96,100,96,2
Ann-Margret,I Just Don't Understand,1961-07-24,97,0,0,0
Johnny Maestro with The Coeds,Mr. Happiness,1961-07-24,98,0,0,0
Al Martino,Here In My Heart,1961-07-24,99,0,0,0
The Everly Brothers,All I Have To Do Is Dream,1961-07-24,100,-,49,3
Bobby Lewis,Tossin' And Turnin',1961-07-31,1,1,1,15
Chris Kenner,"I Like It Like That, Part 1",1961-07-31,2,5,2,10
Brook Benton,The Boll Weevil Song,1961-07-31,3,2,2,12
