countyState,GEOID,lon,lat,P_total,P_white,P_black,P_asian,P_native,P_hawaiian,P_others,P_below_middle_school,P_some_high_school,P_high_school_equivalent,P_some_college,P_bachelor_and_above,P_below_poverty,median_age,gini_index,median_household_income,median_rent_per_income,percent_no_internet,Year,State,CountyID,StateCountyName,AllAgesSAIPEPovertyUniverse,AllAgesinPovertyCount,AllAgesinPovertyCountLB90%,AllAgesinPovertyCountUB90%,90%ConfidenceInterval(AllAgesinPovertyCount),AllAgesinPovertyPercent,AllAgesinPovertyPercentLB90%,AllAgesinPovertyPercentUB90%,90%ConfidenceInterval(AllAgesinPovertyPercent),UnderAge18SAIPEPovertyUniverse,UnderAge18inPovertyCount,UnderAge18inPovertyCountLB90%,UnderAge18inPovertyCountUB90%,90%ConfidenceInterval(UnderAge18inPovertyCount),UnderAge18inPovertyPercent,UnderAge18inPovertyPercentLB90%,UnderAge18inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge18inPovertyPercent),Ages5to17inFamiliesSAIPEPovertyUniverse,Ages5to17inFamiliesinPovertyCount,Ages5to17inFamiliesinPovertyCountLB90%,Ages5to17inFamiliesinPovertyCountUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyCount),Ages5to17inFamiliesinPovertyPercent,Ages5to17inFamiliesinPovertyPercentLB90%,Ages5to17inFamiliesinPovertyPercentUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyPercent),UnderAge5SAIPEPovertyUniverse,UnderAge5inPovertyCount,UnderAge5inPovertyCountLB90%,UnderAge5inPovertyCountUB90%,90%ConfidenceInterval(UnderAge5inPovertyCount),UnderAge5inPovertyPercent,UnderAge5inPovertyPercentLB90%,UnderAge5inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge5inPovertyPercent),MedianHouseholdIncomeinDollars,MedianHouseholdIncomeinDollarsLB90%,MedianHouseholdIncomeinDollarsUB90%,90%ConfidenceInterval(MedianHouseholdIncomeinDollars)
Marion County (FL),05000US12083,-82.0431004,29.2028047,349020,286955,44143,4308,194,122,1951,5874,24091,99529,78526,46823,59380,48.6,0.4428,39383,30.9,19.5286019711112,2017,12,12083,Marion County (FL),344876,55880,49007,62753,"49,007 to 62,753",16.2,14.2,18.2,14.2 to 18.2,65198,17133,13930,20336,"13,930 to 20,336",26.3,21.4,31.2,21.4 to 31.2,47476,12253,9813,14693,"9,813 to 14,693",25.8,20.7,30.9,20.7 to 30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$43,772","$42,127","$45,417","$42,127 to $45,417"
Martin County (FL),05000US12085,-80.3982112,27.0799538,158701,139122,9164,1252,965,179,5813,3725,6810,30871,41857,36545,17211,51.5,0.5205,54620,34.7,15.2375508130081,2017,12,12085,Martin County (FL),156221,17002,14057,19947,"14,057 to 19,947",10.9,9,12.8,9.0 to 12.8,26025,4356,3341,5371,"3,341 to 5,371",16.7,12.8,20.6,12.8 to 20.6,19449,3029,2255,3803,"2,255 to 3,803",15.6,11.6,19.6,11.6 to 19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,344","$53,614","$63,074","$53,614 to $63,074"
Miami-Dade County (FL),05000US12086,-80.4990449,25.6104937,2712945,2019915,476506,43745,4683,1265,124482,150429,165925,542835,483546,537034,488306,39.9,0.5282,45935,38.7,20.9215614590027,2017,12,12086,Miami-Dade County (FL),2712068,452649,430457,474841,"430,457 to 474,841",16.7,15.9,17.5,15.9 to 17.5,550100,121165,110397,131933,"110,397 to 131,933",22,20.0,24,20.0 to 24.0,392882,84519,75308,93730,"75,308 to 93,730",21.5,19.2,23.8,19.2 to 23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,758","$48,866","$50,650","$48,866 to $50,650"
Monroe County (FL),05000US12087,-81.2067767,25.6010428,79077,NA,NA,NA,NA,NA,NA,1296,3756,16448,17524,20034,7548,46.3,0.461,65717,35.8,12.76139587044,2017,12,12087,Monroe County (FL),75974,8963,7407,10519,"7,407 to 10,519",11.8,9.8,13.8,9.8 to 13.8,11609,2087,1610,2564,"1,610 to 2,564",18,13.9,22.1,13.9 to 22.1,8042,1448,1068,1828,"1,068 to 1,828",18,13.3,22.7,13.3 to 22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$63,009","$58,808","$67,210","$58,808 to $67,210"
Nassau County (FL),05000US12089,-81.7649287,30.6059257,80622,NA,NA,NA,NA,NA,NA,585,3295,17730,19147,18017,8423,45.2,0.441,71515,30.1,10.5214914721577,2017,12,12089,Nassau County (FL),82065,7484,6078,8890,"6,078 to 8,890",9.1,7.4,10.8,7.4 to 10.8,16237,2095,1573,2617,"1,573 to 2,617",12.9,9.7,16.1,9.7 to 16.1,11945,1476,1077,1875,"1,077 to 1,875",12.4,9.1,15.7,9.1 to 15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$70,590","$66,375","$74,805","$66,375 to $74,805"
Okaloosa County (FL),05000US12091,-86.5941941,30.6658583,201170,155446,20398,5770,590,327,8785,2106,7904,35310,48611,41852,19590,37.2,0.4322,60026,29.4,10.4031431499829,2017,12,12091,Okaloosa County (FL),198039,21667,18455,24879,"18,455 to 24,879",10.9,9.3,12.5,9.3 to 12.5,44259,7252,5790,8714,"5,790 to 8,714",16.4,13.1,19.7,13.1 to 19.7,30799,4872,3740,6004,"3,740 to 6,004",15.8,12.1,19.5,12.1 to 19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,798","$57,869","$63,727","$57,869 to $63,727"
Orange County (FL),05000US12095,-81.323295,28.514435,1314367,851713,276302,70844,1697,50,67741,34791,68209,212756,252104,294893,212247,34.9,0.48,51335,33.3,12.0423038750093,2017,12,12095,Orange County (FL),1321373,201528,188575,214481,"188,575 to 214,481",15.3,14.3,16.3,14.3 to 16.3,298268,65440,58650,72230,"58,650 to 72,230",21.9,19.6,24.2,19.6 to 24.2,215275,44755,39282,50228,"39,282 to 50,228",20.8,18.3,23.3,18.3 to 23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,021","$52,629","$55,413","$52,629 to $55,413"
Osceola County (FL),05000US12097,-81.1393116,28.0590267,336015,248442,40387,9588,739,142,23289,7840,17307,71686,76165,44184,49508,35.6,0.4042,51436,33.5,12.7714745462186,2017,12,12097,Osceola County (FL),348384,48892,41590,56194,"41,590 to 56,194",14.0,11.9,16.1,11.9 to 16.1,85570,18351,14938,21764,"14,938 to 21,764",21.4,17.4,25.4,17.4 to 25.4,63354,12571,9944,15198,"9,944 to 15,198",19.8,15.7,23.9,15.7 to 23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,284","$46,191","$52,377","$46,191 to $52,377"
Palm Beach County (FL),05000US12099,-80.4486728,26.6457628,1443810,1079513,266755,38391,1811,536,26821,50604,69011,259717,292543,368824,178288,44.7,0.5179,57580,35.1,12.3570685586247,2017,12,12099,Palm Beach County (FL),1450165,170868,158219,183517,"158,219 to 183,517",11.8,10.9,12.7,10.9 to 12.7,279722,47117,41218,53016,"41,218 to 53,016",16.8,14.7,18.9,14.7 to 18.9,204561,31505,26718,36292,"26,718 to 36,292",15.4,13.1,17.7,13.1 to 17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,059","$58,732","$61,386","$58,732 to $61,386"
Pasco County (FL),05000US12101,-82.4557068,28.3020241,512368,452055,28037,12829,1337,190,6111,9214,28228,127733,116871,85638,66699,44.8,0.4581,46264,32.3,16.5472222790194,2017,12,12101,Pasco County (FL),518599,67635,60715,74555,"60,715 to 74,555",13.0,11.7,14.3,11.7 to 14.3,105400,19044,16330,21758,"16,330 to 21,758",18.1,15.5,20.7,15.5 to 20.7,77896,13971,11904,16038,"11,904 to 16,038",17.9,15.2,20.6,15.2 to 20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,247","$49,992","$52,502","$49,992 to $52,502"
Pinellas County (FL),05000US12103,-82.739518,27.903122,960730,784811,97341,33027,3117,820,15140,14846,46810,206961,243061,215630,125474,48.0,0.4835,50036,31.1,14.7615329463646,2017,12,12103,Pinellas County (FL),954222,115990,106078,125902,"106,078 to 125,902",12.2,11.2,13.2,11.2 to 13.2,156910,27024,22266,31782,"22,266 to 31,782",17.2,14.2,20.2,14.2 to 20.2,114103,18690,15349,22031,"15,349 to 22,031",16.4,13.5,19.3,13.5 to 19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,488","$50,397","$52,579","$50,397 to $52,579"
Polk County (FL),05000US12105,-81.6927831,27.9531147,666149,525140,100793,12565,1818,306,9710,21477,41221,165401,130424,92755,106975,40.2,0.4455,46355,28.8,19.3221716299591,2017,12,12105,Polk County (FL),671851,107844,97445,118243,"97,445 to 118,243",16.1,14.6,17.6,14.6 to 17.6,150573,38451,33542,43360,"33,542 to 43,360",25.5,22.2,28.8,22.2 to 28.8,110734,28717,25015,32419,"25,015 to 32,419",25.9,22.6,29.2,22.6 to 29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,328","$46,806","$49,850","$46,806 to $49,850"
Putnam County (FL),05000US12107,-81.7408939,29.6060059,72277,NA,NA,NA,NA,NA,NA,1448,7287,19347,13284,7920,14099,45.3,0.4254,38239,30.7,27.2720785013381,2017,12,12107,Putnam County (FL),72013,18954,16565,21343,"16,565 to 21,343",26.3,23,29.6,23.0 to 29.6,15555,6691,5576,7806,"5,576 to 7,806",43,35.8,50.2,35.8 to 50.2,11333,4676,3828,5524,"3,828 to 5,524",41.3,33.8,48.8,33.8 to 48.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$34,390","$32,486","$36,294","$32,486 to $36,294"
St. Johns County (FL),05000US12109,-81.3839139,29.8905926,235087,208208,12331,6363,854,695,1850,1898,4771,35736,52134,71152,17568,43.0,0.4658,78581,30,7.82899972679867,2017,12,12109,St. Johns County (FL),241065,20118,16801,23435,"16,801 to 23,435",8.3,6.9,9.7,6.9 to 9.7,52739,4824,3865,5783,"3,865 to 5,783",9.1,7.3,10.9,7.3 to 10.9,40425,3142,2428,3856,"2,428 to 3,856",7.8,6.0,9.6,6.0 to 9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$77,022","$71,416","$82,628","$71,416 to $82,628"
St. Lucie County (FL),05000US12111,-80.4433638,27.3807748,306507,227646,59949,6005,1345,0,5409,8132,18212,73041,70865,45146,54771,45.2,0.4439,44804,37.3,14.6742879668868,2017,12,12111,St. Lucie County (FL),310308,39839,33287,46391,"33,287 to 46,391",12.8,10.7,14.9,10.7 to 14.9,62094,11873,9333,14413,"9,333 to 14,413",19.1,15.0,23.2,15.0 to 23.2,45946,8283,6311,10255,"6,311 to 10,255",18,13.7,22.3,13.7 to 22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,995","$47,478","$52,512","$47,478 to $52,512"
Santa Rosa County (FL),05000US12113,-87.0142549,30.7036328,170497,146607,10669,3459,1460,506,772,1564,9139,31497,43250,32987,16505,40.3,0.4223,63619,28.4,6.95763301357232,2017,12,12113,Santa Rosa County (FL),168053,17183,14036,20330,"14,036 to 20,330",10.2,8.3,12.1,8.3 to 12.1,38045,5431,4240,6622,"4,240 to 6,622",14.3,11.2,17.4,11.2 to 17.4,28154,3684,2808,4560,"2,808 to 4,560",13.1,10.0,16.2,10.0 to 16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$65,434","$62,639","$68,229","$62,639 to $68,229"
Sarasota County (FL),05000US12115,-82.3658351,27.1843855,412569,375600,17710,6544,1005,22,4215,6026,14867,99454,95597,110253,43026,55.5,0.4744,54989,30.8,12.4370711330318,2017,12,12115,Sarasota County (FL),413101,38065,32825,43305,"32,825 to 43,305",9.2,7.9,10.5,7.9 to 10.5,59330,8780,6705,10855,"6,705 to 10,855",14.8,11.3,18.3,11.3 to 18.3,44462,5948,4324,7572,"4,324 to 7,572",13.4,9.7,17.1,9.7 to 17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$58,423","$55,553","$61,293","$55,553 to $61,293"
Seminole County (FL),05000US12117,-81.1319797,28.6900793,455479,354325,51494,19098,449,343,13835,3839,12523,68705,114724,118505,52799,39.2,0.4558,61311,29.9,8.48229473169043,2017,12,12117,Seminole County (FL),459203,51321,45678,56964,"45,678 to 56,964",11.2,10,12.4,10.0 to 12.4,96985,13497,11021,15973,"11,021 to 15,973",13.9,11.3,16.5,11.3 to 16.5,72368,9904,7962,11846,"7,962 to 11,846",13.7,11.0,16.4,11.0 to 16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$63,865","$60,875","$66,855","$60,875 to $66,855"
Sumter County (FL),05000US12119,-82.0747152,28.7142938,123996,NA,NA,NA,NA,NA,NA,1748,5611,35180,32938,31566,11366,67.3,0.4363,54562,34.8,10.8321585137406,2017,12,12119,Sumter County (FL),117010,10672,8640,12704,"8,640 to 12,704",9.1,7.4,10.8,7.4 to 10.8,8792,2282,1683,2881,"1,683 to 2,881",26,19.2,32.8,19.2 to 32.8,6282,1592,1138,2046,"1,138 to 2,046",25.3,18.1,32.5,18.1 to 32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,931","$53,069","$62,793","$53,069 to $62,793"
Volusia County (FL),05000US12127,-81.1618129,29.0576172,529364,441448,55747,9730,2528,64,7275,7300,29632,122815,134522,94387,72083,46.8,0.4612,45366,33.3,18.8334836174716,2017,12,12127,Volusia County (FL),524637,79877,73053,86701,"73,053 to 86,701",15.2,13.9,16.5,13.9 to 16.5,94123,23403,20651,26155,"20,651 to 26,155",24.9,22.0,27.8,22.0 to 27.8,68560,15609,13455,17763,"13,455 to 17,763",22.8,19.7,25.9,19.7 to 25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,911","$45,122","$48,700","$45,122 to $48,700"
Walton County (FL),05000US12131,-86.1766139,30.6312106,65889,NA,NA,NA,NA,NA,NA,595,4672,12158,15793,13465,7529,44.9,0.4775,56246,31.6,16.8339030396589,2017,12,12131,Walton County (FL),66198,10493,9083,11903,"9,083 to 11,903",15.9,13.8,18.0,13.8 to 18.0,13697,3703,3138,4268,"3,138 to 4,268",27,22.9,31.1,22.9 to 31.1,9701,2554,2123,2985,"2,123 to 2,985",26.3,21.9,30.7,21.9 to 30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,922","$49,696","$56,148","$49,696 to $56,148"
Barrow County (GA),05000US13013,-83.7123025,33.9920094,77126,NA,NA,NA,NA,NA,NA,1788,5481,17219,15746,9276,10941,35.5,0.388,54256,25.6,12.020912929821,2017,13,13013,Barrow County (GA),78475,9401,7950,10852,"7,950 to 10,852",12.0,10.2,13.8,10.2 to 13.8,20566,3219,2544,3894,"2,544 to 3,894",15.7,12.4,19,12.4 to 19.0,15031,2357,1827,2887,"1,827 to 2,887",15.7,12.2,19.2,12.2 to 19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,028","$56,050","$64,006","$56,050 to $64,006"
Bartow County (GA),05000US13015,-84.8381879,34.2409175,103807,NA,NA,NA,NA,NA,NA,2782,8067,23540,20766,13554,17105,37.2,0.4262,51405,24.8,12.4979412572056,2017,13,13015,Bartow County (GA),103707,13667,11552,15782,"11,552 to 15,782",13.2,11.2,15.2,11.2 to 15.2,25281,4876,3898,5854,"3,898 to 5,854",19.3,15.4,23.2,15.4 to 23.2,18567,3554,2808,4300,"2,808 to 4,300",19.1,15.1,23.1,15.1 to 23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$55,067","$50,525","$59,609","$50,525 to $59,609"
Bibb County (GA),05000US13021,-83.6941934,32.8088443,152760,61273,82574,3089,98,0,1592,2127,10315,29533,28267,25607,38556,36.1,0.5164,36724,34.6,23.5509256049366,2017,13,13021,Bibb County (GA),146799,36728,32934,40522,"32,934 to 40,522",25.0,22.4,27.6,22.4 to 27.6,36991,13567,11448,15686,"11,448 to 15,686",36.7,31.0,42.4,31.0 to 42.4,26647,9723,8202,11244,"8,202 to 11,244",36.5,30.8,42.2,30.8 to 42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,047","$36,121","$41,973","$36,121 to $41,973"
Bulloch County (GA),05000US13031,-81.7438099,32.3934083,74722,NA,NA,NA,NA,NA,NA,855,4572,10331,13569,11173,16546,28.4,0.4579,43982,31.7,18.4241414562114,2017,13,13031,Bulloch County (GA),70681,17369,14775,19963,"14,775 to 19,963",24.6,20.9,28.3,20.9 to 28.3,15097,3974,3096,4852,"3,096 to 4,852",26.3,20.5,32.1,20.5 to 32.1,10711,2655,1960,3350,"1,960 to 3,350",24.8,18.3,31.3,18.3 to 31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,068","$38,358","$45,778","$38,358 to $45,778"
Carroll County (GA),05000US13045,-85.0805272,33.5822366,116261,NA,NA,NA,NA,NA,NA,2089,8412,22986,21550,15453,14584,34.1,0.4031,51228,23.9,13.9204264981736,2017,13,13045,Carroll County (GA),113254,19466,16405,22527,"16,405 to 22,527",17.2,14.5,19.9,14.5 to 19.9,27720,6761,5546,7976,"5,546 to 7,976",24.4,20.0,28.8,20.0 to 28.8,20343,4691,3755,5627,"3,755 to 5,627",23.1,18.5,27.7,18.5 to 27.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,388","$46,869","$55,907","$46,869 to $55,907"
Catoosa County (GA),05000US13047,-85.1373531,34.8993926,66398,NA,NA,NA,NA,NA,NA,149,4613,15335,14712,10773,6033,40.0,0.4271,55717,29.3,13.1996928424201,2017,13,13047,Catoosa County (GA),65851,7905,6160,9650,"6,160 to 9,650",12.0,9.4,14.6,9.4 to 14.6,15188,2623,1945,3301,"1,945 to 3,301",17.3,12.8,21.8,12.8 to 21.8,11535,1755,1249,2261,"1,249 to 2,261",15.2,10.8,19.6,10.8 to 19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$53,833","$49,084","$58,582","$49,084 to $58,582"
Chatham County (GA),05000US13051,-81.0917682,31.9747555,289082,151815,114139,6369,650,558,4208,2330,15502,45036,65263,61637,43398,35.3,0.4887,53964,27.4,11.4752461768843,2017,13,13051,Chatham County (GA),276189,45057,39057,51057,"39,057 to 51,057",16.3,14.1,18.5,14.1 to 18.5,61558,14927,11886,17968,"11,886 to 17,968",24.2,19.3,29.1,19.3 to 29.1,42795,10184,7921,12447,"7,921 to 12,447",23.8,18.5,29.1,18.5 to 29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,667","$52,499","$56,835","$52,499 to $56,835"
Cherokee County (GA),05000US13057,-84.4750574,34.2443166,241689,NA,NA,NA,NA,NA,NA,4311,9479,35214,50180,61072,17610,38.7,0.4147,77950,26,6.15902387974503,2017,13,13057,Cherokee County (GA),245310,18338,15576,21100,"15,576 to 21,100",7.5,6.4,8.6,6.4 to 8.6,60774,5592,4354,6830,"4,354 to 6,830",9.2,7.2,11.2,7.2 to 11.2,46116,3683,2744,4622,"2,744 to 4,622",8,6.0,10.0,6.0 to 10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$78,247","$73,876","$82,618","$73,876 to $82,618"
Clarke County (GA),05000US13059,-83.3671299,33.9522337,124707,78919,34893,5209,181,33,3137,1732,5335,14696,17598,28091,31693,27.5,0.5139,34999,34,15.4216512835608,2017,13,13059,Clarke County (GA),116831,31067,27212,34922,"27,212 to 34,922",26.6,23.3,29.9,23.3 to 29.9,21838,6225,4766,7684,"4,766 to 7,684",28.5,21.8,35.2,21.8 to 35.2,15102,4227,3126,5328,"3,126 to 5,328",28,20.7,35.3,20.7 to 35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,901","$36,791","$43,011","$36,791 to $43,011"
Clayton County (GA),05000US13063,-84.4129771,33.5522424,279462,NA,NA,NA,NA,NA,NA,8668,13942,55868,55567,35429,56658,32.7,0.4057,45252,29.4,15.2587285099527,2017,13,13063,Clayton County (GA),279429,45572,38035,53109,"38,035 to 53,109",16.3,13.6,19.0,13.6 to 19.0,78327,19937,15566,24308,"15,566 to 24,308",25.5,19.9,31.1,19.9 to 31.1,57023,13937,10480,17394,"10,480 to 17,394",24.4,18.3,30.5,18.3 to 30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,757","$42,308","$47,206","$42,308 to $47,206"
Cobb County (GA),05000US13067,-84.5741657,33.93994,748150,439448,202244,39953,3133,676,36792,16578,20973,90843,130974,232294,70868,36.5,0.4483,70947,27.7,7.92951224864993,2017,13,13067,Cobb County (GA),744869,71120,62226,80014,"62,226 to 80,014",9.5,8.3,10.7,8.3 to 10.7,178516,21083,16794,25372,"16,794 to 25,372",11.8,9.4,14.2,9.4 to 14.2,131715,14403,11276,17530,"11,276 to 17,530",10.9,8.5,13.3,8.5 to 13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$75,485","$72,753","$78,217","$72,753 to $78,217"
Columbia County (GA),05000US13073,-82.2513423,33.5505555,147450,108438,24938,6402,932,0,1413,1593,3186,26000,30392,34644,10627,36.2,0.4068,72737,26.3,16.9658830214889,2017,13,13073,Columbia County (GA),150527,9942,7949,11935,"7,949 to 11,935",6.6,5.3,7.9,5.3 to 7.9,38446,3052,2259,3845,"2,259 to 3,845",7.9,5.8,10,5.8 to 10.0,28873,2134,1522,2746,"1,522 to 2,746",7.4,5.3,9.5,5.3 to 9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$75,832","$71,394","$80,270","$71,394 to $80,270"
Coweta County (GA),05000US13077,-84.7621381,33.3528965,140526,NA,NA,NA,NA,NA,NA,831,7943,28082,27749,27011,13165,39.0,0.4465,71220,26.8,8.78165653525533,2017,13,13077,Coweta County (GA),142110,14806,12571,17041,"12,571 to 17,041",10.4,8.8,12.0,8.8 to 12.0,35017,4988,3991,5985,"3,991 to 5,985",14.2,11.4,17,11.4 to 17.0,26438,3223,2401,4045,"2,401 to 4,045",12.2,9.1,15.3,9.1 to 15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$73,296","$68,026","$78,566","$68,026 to $78,566"
DeKalb County (GA),05000US13089,-84.2263431,33.7706611,740321,259015,403352,45634,5253,101,9586,18932,30805,104011,124396,216819,125609,35.4,0.4946,56109,31.5,13.1154125023102,2017,13,13089,DeKalb County (GA),739938,112844,100999,124689,"100,999 to 124,689",15.3,13.7,16.9,13.7 to 16.9,171844,42264,36113,48415,"36,113 to 48,415",24.6,21.0,28.2,21.0 to 28.2,119608,29327,24540,34114,"24,540 to 34,114",24.5,20.5,28.5,20.5 to 28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,496","$59,597","$63,395","$59,597 to $63,395"
Dougherty County (GA),05000US13095,-84.2144444,31.5350683,90017,NA,NA,NA,NA,NA,NA,1745,5711,16770,19574,12183,25847,35.2,0.5123,37222,32.3,23.8530235816017,2017,13,13095,Dougherty County (GA),86301,24373,20958,27788,"20,958 to 27,788",28.2,24.2,32.2,24.2 to 32.2,21394,8881,7337,10425,"7,337 to 10,425",41.5,34.3,48.7,34.3 to 48.7,15375,6177,4998,7356,"4,998 to 7,356",40.2,32.5,47.9,32.5 to 47.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$36,994","$33,735","$40,253","$33,735 to $40,253"
Douglas County (GA),05000US13097,-84.7659441,33.6993166,142224,67268,67469,2242,73,0,2812,1699,7216,28924,27918,24761,17528,36.0,0.4369,62445,26.4,10.6664485388847,2017,13,13097,Douglas County (GA),142287,16770,13506,20034,"13,506 to 20,034",11.8,9.5,14.1,9.5 to 14.1,36863,6295,4707,7883,"4,707 to 7,883",17.1,12.8,21.4,12.8 to 21.4,27884,4541,3284,5798,"3,284 to 5,798",16.3,11.8,20.8,11.8 to 20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$60,177","$55,546","$64,808","$55,546 to $64,808"
Fayette County (GA),05000US13113,-84.4939407,33.4127172,111627,NA,NA,NA,NA,NA,NA,1057,1849,15439,20196,37209,6161,43.3,0.4401,80626,27.4,7.88093692253908,2017,13,13113,Fayette County (GA),111823,6424,5118,7730,"5,118 to 7,730",5.7,4.5,6.9,4.5 to 6.9,26071,2034,1551,2517,"1,551 to 2,517",7.8,5.9,9.7,5.9 to 9.7,21035,1488,1096,1880,"1,096 to 1,880",7.1,5.2,9.0,5.2 to 9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$87,831","$81,890","$93,772","$81,890 to $93,772"
Floyd County (GA),05000US13115,-85.2137297,34.2636769,96560,NA,NA,NA,NA,NA,NA,2507,7003,19853,17558,15426,11739,38.7,0.4659,49865,25.7,18.1581994295558,2017,13,13115,Floyd County (GA),93370,17913,15346,20480,"15,346 to 20,480",19.2,16.5,21.9,16.5 to 21.9,22213,6070,5007,7133,"5,007 to 7,133",27.3,22.5,32.1,22.5 to 32.1,16259,4236,3403,5069,"3,403 to 5,069",26.1,21.0,31.2,21.0 to 31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,979","$42,199","$49,759","$42,199 to $49,759"
Forsyth County (GA),05000US13117,-84.1273355,34.225143,221009,179397,7490,25847,387,0,3346,3868,6205,23691,35513,71739,13001,38.7,0.3969,100909,24.9,7.03384666518945,2017,13,13117,Forsyth County (GA),226808,11978,10022,13934,"10,022 to 13,934",5.3,4.4,6.2,4.4 to 6.2,62881,3506,2750,4262,"2,750 to 4,262",5.6,4.4,6.8,4.4 to 6.8,49224,2397,1861,2933,"1,861 to 2,933",4.9,3.8,6.0,3.8 to 6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$103,083","$99,644","$106,522","$99,644 to $106,522"
Fulton County (GA),05000US13121,-84.4681816,33.7900338,1023336,455532,447187,68259,9001,879,11948,11047,38213,125877,154622,352495,155061,35.4,0.5369,63510,29.8,10.4587767300042,2017,13,13121,Fulton County (GA),1009694,149652,133368,165936,"133,368 to 165,936",14.8,13.2,16.4,13.2 to 16.4,228920,48299,40541,56057,"40,541 to 56,057",21.1,17.7,24.5,17.7 to 24.5,167014,34089,28360,39818,"28,360 to 39,818",20.4,17.0,23.8,17.0 to 23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$64,901","$63,093","$66,709","$63,093 to $66,709"
Glynn County (GA),05000US13127,-81.4965167,31.2127465,84502,NA,NA,NA,NA,NA,NA,1437,5374,15176,18179,16060,17140,41.0,0.4926,48926,29,18.6132191327896,2017,13,13127,Glynn County (GA),84004,14304,11776,16832,"11,776 to 16,832",17.0,14,20.0,14.0 to 20.0,18559,5462,4359,6565,"4,359 to 6,565",29.4,23.5,35.3,23.5 to 35.3,13655,3655,2838,4472,"2,838 to 4,472",26.8,20.8,32.8,20.8 to 32.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,740","$47,392","$54,088","$47,392 to $54,088"
Gwinnett County (GA),05000US13135,-84.0229381,33.9591011,907135,438099,248723,103900,1346,82,88207,29301,32804,132550,172483,199463,102496,35.2,0.4307,67155,31.1,9.4502505122157,2017,13,13135,Gwinnett County (GA),912553,97757,88589,106925,"88,589 to 106,925",10.7,9.7,11.7,9.7 to 11.7,246936,37649,32965,42333,"32,965 to 42,333",15.2,13.3,17.1,13.3 to 17.1,186517,28015,24412,31618,"24,412 to 31,618",15,13.1,16.9,13.1 to 16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$68,957","$66,694","$71,220","$66,694 to $71,220"
