Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
Security Alarm,Bookstore,2/14/2014,140214042,2/14/2014,1:14 PM,,False Alarm
Suspicious Person,Music Bldg,2/14/2014,140214044,2/14/2014,3:09 PM,,Information Only
Assist Other Agency,Torrey Pines Center South,2/14/2014,140214045,3:21 PM,3:21 PM,San Diego Police enroute to non injury accident,Information Only
"Disturbance, Psych Subject",Telemedicine Bldg,2/14/2014,140214047,2/14/2014,3:54 PM,"Subject talking to himself saying threatening words, walking towards VA hospital",Referred To Other Agency-VA Police
Unknown Injury Accident,Voigt Dr/Gilman Dr,2/14/2014,2014-0250,2/14/2014,4:05 PM,"Collision with injury, motorcyclist vs. vehicle, medical aid refused",Report Taken
Bicyclist Stop,Lot 701/Voigt Dr,2/14/2014,140214049,2/14/2014,4:34 PM,,Verbal Warning Issued
Welfare Check,Brennan Hall,2/14/2014,2014-0251,2/14/2014,5:25 PM,Roommates concerned about roommate who is punching wall,Transported To Hospital For Evaluation
Medical Aid,Engineering Bldg Unit 3A,2/14/2014,140214054,2/14/2014,5:40 PM,Subject fainted,Medical Transportation Refused
Petty Theft,Engineering Bldg Unit 1,2/14/2014,2014-0252,2/14/2014,7:00 PM,"No theft, non affiliate found sitting inside staff members office",Stay Away Order Issued
Medical Aid,Library Walk,2/14/2014,2014-0253,2/14/2014,6:57 PM,"Subject fell off skateboard, possibly has dislocated knee",Transported To Hospital
Suspicious Person,Revelle Apartments,2/14/2014,140214058,2/14/2014,7:08 PM,,Unable To Locate
Information,John Hopkins Research Facility,2/14/2014,140214061,2/14/2014,7:40 PM,Suspicious sign claiming bomb inside building,Per San Diego Police-Checks OK
Suspicious Person,Lot 602,2/14/2014,140214062,2/14/2014,8:10 PM,,Field Interview
Citizen Contact,Scholars Ln,2/14/2014,140214067,2/14/2014,9:14 PM,Regarding parking citation,Information Only
Welfare Check,Argo Hall,2/14/2014,140214068,2/14/2014,9:19 PM,Parent has been unable to get ahold of son,Checks OK
Citizen Contact,North Point Information Booth,2/14/2014,140214069,2/14/2014,9:38 PM,Party bus,Information Only
Suspicious Person,Rita Atkinson Residences,2/14/2014,2014-0254,2/14/2014,9:59 PM,Non affiliate trying to access building,Stay Away Order Issued
Alcohol Contact,Tenaya Hall,2/14/2014,140214073,2/14/2014,10:10 PM,,Information Only
Welfare Check,Rady School Of Management,2/14/2014,140214077,2/14/2014,11:11 PM,Two possible has been drinking subjects,Unable To Locate
Drunk In Public,Lot 705,2/14/2014,2014-0256,2/14/2014,11:59 PM,,Closed By Adult Arrest
Assist Other Agency,Tioga Hall,2/21/2014,140221001,2/21/2014,1:00 AM,Verizon cell phone company receiving emergency signal from area,False Alarm
Quiet Hours Contact,Cuzco Hall,2/21/2014,140221002,2/21/2014,1:23 AM,,Will Cooperate
Noise Disturbance,Asante Hall,2/21/2014,140221003,2/21/2014,1:29 AM,Loud party,Will Cooperate
Noise Disturbance,The Village West Bldg 8,2/21/2014,140221007,2/21/2014,2:09 AM,Yelling and pounding,Will Cooperate
Citizen Contact,Village East 1,2/21/2014,140221009,2/21/2014,2:30 AM,,Field Interview
Noise Disturbance,Muir Apartments,2/21/2014,140221010,2/21/2014,2:37 AM,Roommates guests are too loud,Information Only
Citizen Contact,Muir Apartments,2/21/2014,140221013,2/21/2014,3:13 AM,"Per Resident Advisor, unknown assistance needed at location",Information Only
Fire Alarm,Oceanview Terrace,2/21/2014,140221018,2/21/2014,5:52 AM,,False Alarm
Suspicious Person,Student Services Center,2/21/2014,140221025,2/21/2014,8:04 AM,,Gone On Arrival
Bicyclist Stop,Lot 207,2/21/2014,140221039,2/21/2014,8:58 AM,,Verbal Warning Issued
Security Alarm,Mt. Soledad MPL Facility Bldg 2,2/21/2014,140221040,2/21/2014,9:03 AM,,Referred To Other Agency-San Diego Police
Suspicious Circumstances,Glider Port,2/21/2014,140221045,2/21/2014,9:35 AM,Suspicious vehicle,Checks OK
Bicyclist Stop,Torrey Pines Center North,2/21/2014,140221047,2/21/2014,10:00 AM,,Cited
Illegal Parking,Village East 1,2/21/2014,140221048,2/21/2014,10:15 AM,,Cited
Non Injury Accident Report,I-15/I-60 Riverside,2/21/2014,2014-0283,2/15/2014,5:37 PM,UC vehicle vs. other private vehicle,Report Taken
Bicyclist/Skateboard Stops,Library Walk,2/21/2014,Various Incidents,2/21/2014,12:30 PM-2:07 PM,,"1 Written Warning Issued, 26 Verbal Warnings Issued"
Incomplete Wireless 911 Call,Preuss School,2/21/2014,140221066,2/21/2014,1:17 PM,Dialed in error,Referred To Other Agency- Preuss School Security
Vandalism To Vehicle,Justice Ln,2/21/2014,2014-0284,2/20/2014,5:30 PM-8:30 PM,Damage: $500.00,Report Taken
Illegal Parking,Russell Ln/Rupertus Wy,2/21/2014,140221088,2/21/2014,2:16 PM,,Verbal Warning Issued
Medical Aid,Rebecca & John Moores Cancer Center,2/21/2014,140221090,2/21/2014,2:35 PM,Patient with low blood pressure and fever,Referred To Other Agency-Medics Responding
Gas/Water/Sewer Leak,Revelle Plaza,2/21/2014,140221095,2/21/2014,3:19 PM,Smell of natural gas in area,Referred To Other Agency-Facilities Management
Citizen Flagdown,Lot 751,2/21/2014,140221096,2/21/2014,3:24 PM,Citizen unable to locate vehicle,Unable To Locate
Reckless Driving,Campus Point Dr/Voigt Dr,2/21/2014,140221097,2/21/2014,3:45 PM,Motorist traveling wrong way,Verbal Warning Issued
Security Alarm,Center For Molecular Medicine,2/21/2014,140221098,2/21/2014,3:57 PM,,False Alarm
Illegal Parking,Gilman Dr/Library Walk,2/21/2014,140221100,2/21/2014,4:48 PM,,Will Cooperate
Security Alarm,IRPS Computer Lab,2/21/2014,140221106,2/21/2014,6:19 PM,,False Alarm
Hit & Run-No Injuries,Lot 603,2/21/2014,2014-0285,2/21/2014,9:30 AM-5:15 PM,,Report Taken
Suspicious Person,Gilman Parking Structure,2/21/2014,140221112,2/21/2014,8:27 PM,,Unable To Locate
Brandishing A Weapon,The Loft,2/21/2014,140221115,2/21/2014,9:40 PM,"Report of male pulling out knife during argument, subject was escorted out by security, nofurther information given",Checks OK
Quiet Hours Contact,Geneva Hall,2/21/2014,140221117,2/21/2014,10:10 PM,,Will Cooperate
Information,Northview Information Booth,2/21/2014,140221119,2/21/2014,10:16 PM,Party bus picking up,Information Only
Noise Disturbance,Marshall Res Halls,2/21/2014,140221125,2/21/2014,10:34 PM,Loud group,Quiet On Arrival
Bicyclist Stop,Voigt Dr/Lot 701,2/21/2014,140221126,2/21/2014,10:39 PM,,Written Warning Issued
Alcohol Contact,Lot 206,2/21/2014,140221127,2/21/2014,10:49 PM,,Information Only
Quiet Hours Contact,Marshall Res Halls,2/21/2014,140221129,2/21/2014,10:50 PM,,Will Cooperate
Disturbance,Lot 354,2/21/2014,140221132,2/21/2014,10:55 PM,Verbal argument between motorist & parking representative,Verbal Warning Issued
Quit Hours Contact,Kathmandu,2/21/2014,140221134,2/21/2014,11:09 PM,,Will Cooperate
Vandalism,Mandeville Center,2/21/2014,2014-0286,2/20/2014-2/21/2014,11:30 PM-11:30 PM,"Graffiti, damage: $400.00",Report Taken
Suspicious Vehicle,Lot 702,2/21/2014,140221136,2/21/2014,11:32 PM,,Unable To Locate
Disturbance,South Mesa Apartments,2/21/2014,140221138,2/21/2014,11:49 PM,Loud party,Written Warning Issued
Theft Of Bicycle,Atkinson Hall Bike Racks,2/21/2014,2014-0297,1/16/2014,3:00 PM-5:45 PM,Loss: $180.00,Online Report
Citizen Contact,Village Place & Market,2/19/2014,140219001,2/19/2014,12:16 AM,Skateboarding,Information Only
Noise Disturbance,Kathmandu,2/19/2014,140219002,2/19/2014,1:16 AM,Loud party,Will Cooperate
Suspicious Person,Lot 002,2/19/2014,140219003,2/19/2014,1:33 AM,,Field Interview
Citizen Contact,Café Vita,2/19/2014,140219012,2/19/2014,3:43 PM,"Sleeper, possible student",Information Only
Suspicious Person,Price Center,2/19/2014,140219027,2/19/2014,9:01 AM,,Information Only
Bicyclist Stop,Lot 207,2/19/2014,140219031,2/19/2014,9:09 AM,,Verbal Warning Issued
Petty Theft,Lot 102,2/19/2014,2014-0277,2/18/2014,12:30 PM-3:30 PM,Loss: $30.00,Report Taken
Security Alarm,ERC Admin,2/19/2014,140219038,2/19/2014,10:41 AM,,False Alarm
Illegal Parking,South Mesa Apartments,2/19/2014,140219039,2/19/2014,11:49 AM,,Gone On Arrival
Drunk Driving No Injuries,Glider Port,2/19/2014,140219042,2/19/2014,1:03 PM,Second hand information of possible drunk driver,Unable To Locate
Burglary,Pepper Canyon Hall,2/19/2014,2014-0278,2/10/2014-2/14/2014,6:00 PM-4:00 PM,Loss: $400.00,Report Taken
Hit & Run-No Injuries,VA Hospital,2/19/2014,2014-0279,2/19/2014,6:27 PM,,Report Taken
Illegal Vendor/Solicitor,1 Miramar Bldg 3,2/19/2014,140219055,2/19/2014,7:44 PM,,Unable To Locate
Suspicious Person,1 Miramar Bldg 3,2/19/2014,140219056,2/19/2014,7:48 PM,,Checks OK
Lost Property,1 Miramar Parking,2/19/2014,140219060,2/19/2014,10:01 PM,Subject noticed left property next to a vehicle,Unable To Locate
Security Alarm,Leichtag Biomedical Bldg,2/19/2014,140219062,2/19/2014,11:43 PM,,False Alarm
Fire Alarm,Institute Of The Americas,2/19/2014,140219063,2/19/2014,11:53 PM,,False Alarm
Security Alarm,UCTR 112,2/27/2014,140227001,2/27/2014,1:38 AM,,False Alarm
Grand Theft,Asia Hall,2/27/2014,2014-0318,2/27/2014,3:45 AM,"Loss: $2,150.00",Report Taken
Petty Theft,Warren Literature,2/27/2014,2014-0319,2/26/2014,12:10 PM,Loss: $157.00,Report Taken
Citizen Contact,El Paseo Grande/La Jolla Shores Dr,2/27/2014,140227029,2/27/2014,10:18 AM,Directions needed,Information Only
Medical Aid,Radiation Oncology Center,2/27/2014,140227031,2/27/2014,10:45 AM,Patient with low blood pressure,Referred To Other Agency-Medics Enroute
Found Property,Solis Hall,2/27/2014,140227038,2/27/2014,12:33 PM,Turned into UCSD Police lost & found,Information Only
Bicyclist Stop,Price Center,2/27/2014,140227040,2/27/2014,12:37 PM,,Verbal Warning Issued
Bicyclist Stop,Price Center,2/27/2014,140227041,2/27/2014,12:39 PM,,Verbal Warning Issued
Suspicious Person,Gilman Dr/Myers Dr,2/27/2014,140227042,2/27/2014,12:52 PM,,Field Interview
Bicyclist Stop,Lot 701,2/27/2014,140227044,2/27/2014,1:04 PM,,Cited
Petty Theft,Central Mesa Apartments,2/27/2014,2014-0320,2/20/2014-2/21/2014,Unknown-10:00 AM,"Theft of bicycle, loss: $150.00",Report Taken
Information,Humanities & Social Sciences,2/27/2014,140227054,2/27/2014,3:10 PM,Suspicious person,Information Only
Assist Other Agency,La Jolla Village/La Jolla Scenic,2/27/2014,140227056,2/27/2014,3:53 PM,"San Diego Police, physical disturbance",Information Only
"Disturbance, Argument",Thornton Hospital,2/27/2014,140227057,2/27/2014,4:01 PM,"Verbal argument, subject complaining of chest pains and claiming ER staff is refusing treatment",Transported To Scripps Hospital
Fire Alarm,Latin America Hall,2/27/2014,140227059,2/27/2014,5:00 PM,,False Alarm
Security Alarm,Center For Molecular Medicine East,2/27/2014,140227064,2/27/2014,5:59 PM,,False Alarm
"Disturbance, Domestic Violence",North Mesa Apartments,2/27/2014,140227065,2/27/2014,7:16 PM,Verbal argument only,Field Interview
Security Alarm,UCTR 108,2/27/2014,140227066,2/27/2014,7:42 PM,,False Alarm
Noise Disturbance,Village East 4,2/27/2014,140227070,2/27/2014,9:28 PM,Multiple people yelling,Will Cooperate
Suicide Attempt,Brennan Hall,2/27/2014,2014-0321,2/22/2014,Unknown,Subject made suicidal comments through text message to reporting party,Report taken
"Disturbance, Argument",Visual Arts 1,2/27/2014,140227073,2/27/2014,9:53 PM,Subject violating stay away order from the college dean,Field Interview
Skateboard Stop,Marshall Provost,2/27/2014,140227074,2/27/2014,10:15 PM,,Information Only
"Disturbance, Argument",Central Mesa Apartments,2/27/2014,140227075,2/27/2014,10:27 PM,Report of female yelling and items being thrown,Field Interview
Marijuana Contact,Tenaya Hall,2/27/2014,140227076,2/27/2014,10:57 PM,,Unable To Locate
Petty Theft,Geisel Library,2/20/14,2014-0322,2/20/14,4:15 PM-6:30 PM,Loss; $104.00,Online Report
Noise Disturbance,Tioga Hall,2/4/2014,140204001,2/4/2014,12:13 AM,"Stomping, kicking a ball or play fighting",Quiet On Arrival
Citizen Flagdown,Lot 103,2/4/2014,140204005,2/4/2014,1:20 AM,,Checks OK
Suspicious Person,North Point Dr,2/4/2014,140204009,2/4/2014,2:23 AM,,Unable To Locate
Citizen Contact,Price Center,2/4/2014,140204014,2/4/2014,4:10 AM,Student sleeper,Information Only
Non Injury Accident,Lot 109,2/4/2014,2014-0190,2/3/2014,5:10 AM,UC vehicle collided with fixed bollard,Report Taken
Assist Other Agency,La Jolla Shores Dr/El Paseo Grande,2/4/2014,140204025,2/4/2014,8:20 AM,San Diego Police out with vehicle tampering suspect,Information Only
Suspicious Person,Chemistry Research Bldg,2/4/2014,140204031,2/4/2014,9:05 AM,,Unable To Locate
Bicyclist Stop,Lot 510,2/4/2014,140204036,2/4/2014,9:58 AM,,Verbal Warning Issued
Disabled Placard Misuse,Hopkins Parking Structure,2/4/2014,140204040,2/4/2014,11:27 AM,,Field Interview
Warrant Service,Center Hall,2/4/2014,140204042,2/4/2014,11:45 AM,,Information Only
Fire Alarm,The Village West,2/4/2014,140204044,2/4/2014,12:55 PM,,False Alarm
Smoke Check,Faculty Club,2/4/2014,140204045,2/4/2014,2:27 PM,Smoke coming from pile of wood chips,Checks OK
Injury,Outback Adventures,2/4/2014,2014-0191,2/4/2014,5:11 PM,Subject lost control of Razor scooter and fell causing multiple injuries,Transported To Hospital
Bicyclist Stop,Lot 701,2/4/2014,140204052,2/4/2014,5:56 PM,,Field Interview
Suspicious Person,Central Mesa Apartments,2/4/2014,140204053,2/4/2014,6:36 PM,,Cancelled After Dispatched
Security Alarm,SIO Library,2/4/2014,140204054,2/4/2014,7:16 PM,,False Alarm
Grand Theft,Geisel Library,2/4/2014,140204055,2/4/2014,5:00 PM-7:30 PM,"Possible loss: $1000.00, no report wanted at this time",Information Only
Incomplete Phone Call 911 Hang Up,Sunshine Store,2/4/2014,140204059,2/4/2014,9:40 PM,"Call box activation, nothing heard",Checks OK
Security Alarm,Student Services Center-Financial Aid,2/4/2014,140204060,2/4/2014,9:40 PM,,False Alarm
Citizen Contact,Engineering Bldg Unit 1,2/4/2014,140204063,2/4/2014,11:27 PM,Smoking,Information Only
Theft Of Bicycle,Village East Tower Bike Racks,1/31/2014,2014-0193,1/28/2014-1/30/2014,Unknown-7:20 PM,Loss: $325.00,Online Report
Theft Of Bicycle,Village East Bldg 3 Bike Racks,1/31/2014,2014-0194,1/28/2014-1/30/2014,Unknown,Loss: $75.00,Online Report
Petty Theft,Frankfurter Hall,2/12/2014,140212003,2/12/2014,1:25 AM,Two student age subjects took table from event,Field Interview
Suspicious Vehicle,Glider Port,2/12/2014,140212004,2/12/2014,1:32 AM,,Information Only
Security Alarm,UCTR 112,2/12/2014,140212005,2/12/2014,1:38 AM,,False Alarm
Suspicious Vehicle,Glider Port,2/12/2014,140212008,2/12/2014,1:51 AM,,Information Only
Suspicious Vehicle,Glider Port,2/12/2014,140212009,2/12/2014,1:56 AM,,Information Only
Citizen Contact,Tioga Hall,2/12/2014,140212010,2/12/2014,2:02 AM,2 subjects urinating on side of building,Unable To Locate
Security Alarm,Mandeville Art Gallery,2/12/2014,140212011,2/12/2014,2:18 AM,,False Alarm
Suspicious Vehicle,Pacific Hall,2/12/2014,140212013,2/12/2014,2:50 AM,,Field Interview
Suspicious Vehicle,Glider Port,2/12/2014,140212014,2/12/2014,3:13 AM,,Information Only
Information,Mt. Soledad MPL Facility Bldg 2,2/12/2014,140212018,2/12/2014,5:17 AM,Security alarm,Referred To Other Agency-San Diego Police
Security Alarm,Student Services Center,2/12/2014,140212022,2/12/2014,6:58 AM,,False Alarm
Found Property,Pharmaceutical Sciences,2/12/2014,140212026,2/12/2014,7:39 AM,,Unfounded
Traffic Stop,Villa La Jolla Dr/Gilman Dr,2/12/2014,2014-0237,2/12/2014,8:07 AM,,"Closed By Citation, Adult"
Signal Light Malfunction,Gilman Dr/Russell Ln,2/12/2014,140212039,2/12/2014,9:54 AM,Walk sign appears to be turned wrong way,Referred To Other Agency-Facilities Management
Fire,Medical Teaching Facility,2/12/2014,140212041,2/12/2014,12:00 AM 10:17 AM,,False Alarm
Suspicious Person,Sixth College-Laundry Room,2/12/2014,140212042,2/12/2014,10:24 AM,,Unable To Locate
Animal Call,Geisel Library,2/12/2014,140212044,2/12/2014,11:00 AM,,Information Only
Bicyclist Stop,Marshall Provost,2/12/2014,140212046,2/12/2014,11:32 AM,,Verbal Warning Issued
Bicyclist Stop,Oceanview Terrace-Loading Dock,2/12/2014,140212047,2/12/2014,11:38 AM,,Verbal Warning Issued
Bicyclist Stop,Warren Student Activity Center,2/12/2014,140212049,2/12/2014,11:46 AM,,Verbal Warning Issued
Bicyclist Stop,Lyman Ln/Voigt Dr,2/12/2014,140212051,2/12/2014,11:53 AM,,Verbal Warning Issued
Medical Aid,Engineering Bldg Unit 3B,2/12/2014,140212054,2/12/2014,12:34 PM,Subject having seizure,Transported To Hospital
Information,Marshall Provost,2/12/2014,2014-0240,2/12/2014,12:44 PM,Staff requesting assistance with a student contact,Transported To Hospital
Security Alarm,Student Services Center,2/12/2014,140212058,2/12/2014,1:39 PM,,False Alarm
Medical Aid,Student Health,2/12/2014,140212060,2/12/2014,3:24 PM,Subject experiencing chest pains,Transported Hospital
Suspicious Person,Geisel Library,2/12/2014,140212063,2/12/2014,4:25 PM,,Unable To Locate
"Disturbance, Argument",North Mesa Apartments,2/12/2014,140212064,2/12/2014,4:48 PM,Motorists in verbal argument,Field Interview
Bicyclist Stop,Verbal Warning Issued,2/12/2014,140212065,2/12/2014,4:58 PM,,Verbal Warning Issued
Medical Aid,Myers Dr/Gilman Dr,2/12/2014,2014-0241,2/12/2014,8:05 PM,Battery on spouse,Transported To Hospital
Suspicious Vehicle,Lot 020,2/12/2014,140212075,2/12/2014,9:05 PM,Occupied motorhome,Checks OK
Citizen Contact,The Village West Bldg 1,2/12/2014,140212076,2/12/2014,9:21 PM,Subjects smoking marijuana,Field Interview
Suspicious Person,Lot 406,2/12/2014,140212077,2/12/2014,9:51 PM,,Checks OK
Petty Theft,Marshall Apartments,2/12/2014,2014-0238,2/7/2014-2/10/2014,Unknown-1:00 AM,Loss: $550.00,Online Report
Petty Theft,Bookstore,2/1/2014,SC# 00157-2014,1/16/2014,10:25 AM,Loss: $87.00,Student Conduct Referral
Quiet Hours/Alcohol Contact,Challenger Hall,2/5/2014,SC# 00172-2014,2/4/2014,11:10 PM,,Student Conduct Referral
Petty Theft,Bookstore,2/7/14,SC# 00182-2014,1/29/14,4:50 PM,Loss: $8.00,Student Conduct Referral
Citizen Contact,Blacks Beach Gate,2/9/2014,140209002,2/9/2014,12:14 AM,Bonfire,Information Only
Security Alarm,Roundtable Pizza,2/9/2014,140209006,2/9/2014,12:48 AM,,False Alarm
Quiet Hours Contact,Sixth College Apartments,2/9/2014,140209008,2/9/2014,1:06 AM,,Will Cooperate
Quiet Hours Contact,Sixth College Apartments,2/9/2014,140209011,2/9/2014,1:16 AM,,Will Cooperate
Noise Disturbance,1 Miramar Bldg 3,2/9/2014,140209012,2/9/2014,1:17 AM,Loud bass,Quiet On Arrival
Suspicious Vehicle,Glider Port,2/9/2014,2014-0220,2/9/2014,1:58 AM,Subjects sleeping inside vehicle,"Closed By Citation, Adult"
Unknown Event,Glider Port,2/9/2014,140209018,2/9/2014,2:18 AM,,Field Interview
Quiet Hours Contact,Sixth College Apartments,2/9/2014,140209020,2/9/2014,2:29 AM,,Will Cooperate
Alcohol Contact,Discovery Hall,2/9/2014,2014-0221,2/9/2014,2:31 AM,Public Intoxication,"Closed By Citation, Adult"
Quiet Hours Contact,Stewart Hall,2/9/2014,2014-0222,2/9/2014,2:50 AM,,
Unknown Event,Sixth College Bldg 710,2/9/2014,140209023,2/9/2014,4:20 AM,Odor of marijuana in area,Unable To Locate
Medical Aid,Gilman Dr/Russell Ln,2/9/2014,140209025,2/9/2014,7:47 AM,"Subject injured hand a week ago off campus, now wanting to seek medical attention",Transported To Hospital
Citizen Contact,UCSD Police Department,2/9/2014,140209029,2/9/2014,10:41 AM,"In reference to case number 2013-1963, suspect and attorney here to surrender",Referred To Other Agency-San Diego Metro Arson Strike Team
Citizen Flagdown,Lot 002,2/9/2014,140209037,2/9/2014,2:15 PM,Directions,Information Only
Hit & Run No Injuries,Lot 406,2/9/2014,2014-0223,2/8/2014-2/9/2014,7:00 PM-11:00 AM,,Report Taken
Illegal Camping,Expedition Wy/Downwind Wy,2/9/2014,140209042,2/9/2014,5:17 PM,,Information Only
Information,Lot 102,2/9/2014,140209048,2/9/2014,9:51 PM,"Random property left on the ground and on vehicles, owner unknown",Information Only
Suicide Attempt,The Village West Bldg 8,2/9/2014,2014-0224,2/9/2014,9:58 PM,Subject making suicidal threats by text message to suite mates,Transported To Hospital For Evaluation
Disturbance,Rady School Of Management,2/9/2014,140209055,2/9/2014,11:08 PM,Group of people playing football,Information Only
Information,Lot 102,2/9/2014,140209056,2/9/2014,11:12 PM,Group of people setting off fireworks,Unable To Locate
Noise Disturbance,1 Miramar Bldg 3,2/1/2014,140201001,2/1/2014,12:03 AM,Loud bass and music,Unable To Locate
Disturbance,Asante Hall,2/1/2014,140201003,2/1/2014,12:10 AM,Loud party,Information Only
Drunk In Public,The Village West Bldg 7,2/1/2014,140201009,2/1/2014,1:14 AM,Requesting evaluation by officer of intoxicated subject,Checks OK-Released To Sober Friend
Noise Disturbance,Marshall Apartments East,2/1/2014,140201011,2/1/2014,1:28 AM,Loud music,Information Only
Noise Disturbance,The Village West Bldg 2,2/1/2014,140201012,2/1/2014,1:32 AM,Music bass and loud talking,Will Cooperate
Disturbance,Lot 104,2/1/2014,140201014,2/1/2014,1:50 AM,Group of people playing loud music out of vehicle,Will Cooperate
Medical Aid,Lot 701,2/1/2014,1740201015,2/1/2014,2:03 AM,Subject complaining of pain in hip and leg,Transported To Hospital
Quiet Hours Contact,The Village West Bldg 2,2/1/2014,140201016,2/1/2014,2:20 AM,,Will Cooperate
Medical Aid,Asia Hall,2/1/2014,2014-0181,2/1/2014,2:31 AM,Excessive alcohol,Transported To Hospital
Assist Other Agency,La Jolla Village Dr/Nobel Dr,2/1/2014,140201018,2/1/2014,2:33 AM,San Diego Police DUI stop,Referred To Other Agency-California Highway Patrol
Suspicious Person,Mandell Weiss Theatre,2/1/2014,140201020,2/1/2014,3:09 AM,,Information Only
Illegal Parking,Hubbs Hall,2/1/2014,140201029,2/1/2014,9:42 AM,,Cited
Suspicious Person,Scholars Dr South/Gilman Dr,2/1/2014,140201030,2/1/2014,10:02 AM,,Gone On Arrival
Illegal Camping,La Jolla Playhouse,2/1/2014,140201031,2/1/2014,10:12 AM,,Field Interview
Security Alarm,Otuback Adventures Surf Shop,2/1/2014,140201034,2/1/2014,11:42 AM,,False Alarm
Illegal Parking,Voigt Dr,2/1/2014,140201041,2/1/2014,12:24 PM,,Wriiten Warning Issued
Unknown Injury Accident,La Jolla Village Dr/Torrey Pines Rd,2/1/2014,140201043,2/1/2014,1:50 PM,Parties exchanged information,Information Only
Vandalism,Pangea Parking Structure,2/1/2014,2014-0182,2/1/2014,Unknown,Parking sign ripped off wall,Report Taken
Assist Other Agency,Science Center/Genesee,2/1/2014,140201057,2/1/2014,7:38 PM,Assisting CHP with traffic stop,Information Only
Citizen Flagdown,Lot 703,2/1/2014,140201061,2/1/2014,8:42 PM,Standing by while subject changes tire,Information Only
Lost Property,North Torrey Pines Rd/Pangea Dr,2/1/2014,140201063,2/1/2014,9:00 PM,Officer found lost property,Owner Contacted
Alcohol Contact,Lot 705,2/1/2014,2014-0186,2/1/2014,10:00 PM,,
Disturbance,Cuzco Hall,2/1/2014,140201069,2/1/2014,10:19 PM,Loud party,Information Only
Traffic Stop,Lot 357,2/1/2014,2014-0184,2/1/2014,10:25 PM,,"Closed By Citation, Adult"
Marijuana Contact,Kathmandu,2/1/2014,140201071,2/1/2014,10:31 PM,,Information Only
Disturbance,1 Miramar Bldg 1,2/1/2014,140201074,2/1/2014,10:45 PM,Loud party,Cancelled After Officer Dispatched
Assist Other Agency,North Torrey Pines Rd,2/1/2014,140201077,2/1/2014,11:02 PM,San Diego Police looking for burglary casers,Information Only
Alcohol Contact,Marshall Apartments West,2/1/2014,140201081,2/1/2014,11:58 PM,,Will Cooperate
Quiet Hours Contact,Marshall Res Halls,2/22/2014,140222001,2/22/2014,12:06 AM,,Will Cooperate
Information,Porters Pub,2/22/2014,140222003,2/22/2014,12:34 AM,"Subject requesting transportation assistance with intoxicated friend,  advised disregard afterofficer assistance was offered",Unable To Locate
Noise Disturbance,Canyon Vista,2/22/2014,140222005,2/22/2014,12:48 AM,Microphone and loud speaker,Quiet On Arrival
Noise Disturbance,The Village Bldg 2,2/22/2014,140222008,2/22/2014,1:03 AM,Constant banging on the wall,Will Cooperate
Quiet Hours Contact,Asia Hall,2/22/2014,140222009,2/22/2014,1:16 AM,,Will Cooperate
Security Alarm,UCTR 112,2/22/2014,140222017,2/22/2014,2:19 AM,,False Alarm
Quiet Hours Contact,Argo Hall,2/22/2014,140222018,2/22/2014,2:30 AM,,Will Cooperate
Quiet Hours Contact,Village East 3,2/22/2014,140222019,2/22/2014,2:33 AM,,Will Cooperate
Battery,Village East 1,2/22/2014,2014-0287,2/22/2014,2:30 AM,"Verbal argument escalated to physical argument, no injuries, no criminal prosecution desired byeither party",Report Taken
Disturbance,La Jolla Del Sol Apartments,2/22/2014,140222021,2/22/2014,2:49 AM,"Per San Diego Police, roommate called wanting has been drinking friends to leave apartment",Checks OK
Marijuana Contact,The Village West Bldg 1,2/22/2014,140222022,2/22/2014,3:06 AM,,Information Only
Marijuana Contact,Tioga Hall,2/22/2014,140222023,2/22/2014,3:12 AM,,Unable To Locate
Gas/Water/Sewer Leak,Lot 208,2/22/2014,140222024,2/22/2014,3:44 AM,Passerby saw water flooding parking lot,Information Only
Welfare Check,Brennan Hall,2/22/2014,140222028,2/22/2014,6:28 AM,,Cancelled Before Dispatched
Illegal Parking,Lot 103,2/22/2014,140222034,2/22/2014,8:21 AM,,Cited
Illegal Parking,Lot 359,2/22/2014,140222035,2/22/2014,8:37 AM,,Cited
Unknown Injury Accident,North Torrey Pines Rd/Salk Institute Rd,2/22/2014,140222038,2/22/2014,9:10 AM,"No accident, traffic hazard-bicyclist with flat tire from glass on street",Information Only
Security Alarm,Price Center-Box Office,2/22/2014,140222049,2/22/2014,12:32 PM,,False Alarm
Security Alarm,Discovery Wy,2/22/2014,140222050,2/22/2014,12:55 PM,,False Alarm
Citizen Contact,Hopkins Parking Structure,2/22/2014,140222055,2/22/2014,2:35 PM,Unable to locate vehicle,Information Only
Ticket Sign Off,Lot 002,2/22/2014,140222059,2/22/2014,5:10 PM,,Information Only
Citizen Flagdown,Lot 604,2/22/2014,140222060,2/22/2014,5:18 PM,Directions needed,Information Only
Information,Lot 705,2/22/2014,140222070,2/22/2014,7:54 PM,4 party buses loading up,Information Only
Information,Blake Hall,2/22/2014,140222073,2/22/2014,9:24 PM,"Per RSO, 3rd floor stairwell lights out",Referred To Other Agency-Housing Maintenance
Illegal Parking,1 Miramar Bldg 1,2/22/2014,140222074,2/22/2014,9:43 PM,,Information Only
Alcohol Contact,Revelle Apartments,2/22/2014,140222077,2/22/2014,9:52 PM,,Information Only
